id,transcription,translation,language,speaker_id,gender,duration,source,audio_path,audio_root
25951,Is enige van hierdie toestande die gevolg van of geïrriteerd deur die teenwoordigheid van skimmel op n plek waar ek 8 uur per dag werk. ,Are any of these conditions a result of or exasperated by the presence of mould in a place I work 8 hours per day.,afrikaans,732105475394c5f99a25f0e78d7efb4471d1172547f3c0a991b1eb5b468fa321,Female,9.255000114440918,intron-MT,data/audio/intron/afrikaans/0bcd0eeb56d43fa06496e9e640ae86dd_OxPUBa4N.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/
25941,Maak seker dat jou fallopiese buise oop is deur die buistoets te laat doen. (Histerosalpingogram). Dit is nodig vir GUI. Onthou asseblief in vrugbaarheidskwessies praat ons net oor waarskynlikheid en waarskynlikheid.,Make sure your fallopian tubes are open by getting tube test done.  (Hysterosalpingogram).  This is necessary for GUI.  Please remember in fertility issues we only talk about probability and likelihood.,afrikaans,623decda5611ef58a2f9b044f64e774f6d01d1e5ea41e5164784a340c460cacd,Female,17.006999969482422,intron-MT,data/audio/intron/afrikaans/92ec596dfe552bdb79d73d800ba4a835_YrNKeHMO.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/
25815,"Maande gelede het ek wakker geword met kneusing aan die buitekant van my enkel/hak, en 'n pynlike knop het net onder my enkelbeen verskyn","Months ago I woke up with bruising on the outside of my ankle/heel, and a painful lump appeared just below my ankle bone.",afrikaans,1680c905402b306225503aea08ab95a522bb536b710e8d22a6b244b12b94bb57,Female,10.479999542236328,intron-MT,data/audio/intron/afrikaans/7aaf263c6a1e35fb479bcfa74a4d1555_4ri3hguv.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/
26117,"Kan dit moontlik wees dat ek dalk reeds swanger is en dat urinetoetse nie vir my werk nie?  Hallo, dankie vir die navraag. Ek verstaan jou bekommernis. ","Could it be possible that I may be pregnant ago and could it be urine test do not work for me?  Hi, Thanks for the query.  I understand your concern.",afrikaans,2dc59dc4f0c9365331b0862d58e7812fb46248a55338760079c0d528cf8d05ca,Female,12.774999618530273,intron-MT,data/audio/intron/afrikaans/8a117868e4258f42ec50c28d4682072e_sQ9Hh5cS.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/
24320,"As die kind aktief is en speel rond wanneer daar geen koors is nie, dit is waarskynlik n virale siekte en dit het nie antibiotika nodig nie","If the kid is active and playing around when there is no fever, it is probably viral illness and it doesn't require antibiotics at all.",afrikaans,3e5939466295fde9530255c0ad805b94ae35d74dac4689b8f8b060412cd17fc7,Female,9.814000129699707,intron-MT,data/audio/intron/afrikaans/80bf352e0a15acfe9dd2ff356ad3d659_euk0Iyil.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/
22554,L4 - L5 Daar is tipe II Modic eindplaat veranderinge. Daar is 'n regter-asimmetriese posterior skyfuitsteeksel wat lei tot ernstige sentrale kanaalstenose en bilaterale neurale foramina-vernouing.,L4 - L5 There is type II Modic endplate changes.  There is a right asymmetric posterior disc protrusion resulting in severe central canal stenosis and bilateral neural foramina narrowing.,afrikaans,623decda5611ef58a2f9b044f64e774f6d01d1e5ea41e5164784a340c460cacd,Female,18.31100082397461,intron-MT,data/audio/intron/afrikaans/cd9023b55fb0f361f69270aecfa5d579_TsoVq3F4.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/
23046,Ek het tandvleispyn aan my linker bo kant van my mond ervaar. Ek kan nie aan hierdie kant kou nie en dit is uiters pynlik om aan te raak.,I have been experiencing gum pain on my upper left side of my mouth.  I cannot chew on this side and it is extremely painful to touch.,afrikaans,253564c9f64abf4de073140b6282acba817615e41300913c1000dd80dfcd4949,Female,14.335000038146973,intron-MT,data/audio/intron/afrikaans/b8eb0cc6932a06fd7ff211801b127f47_8ClOMdtD.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/
24834,"Is deur my neuroloog vertel dat provigil basies meer van a korttermyn skok geggee het en dan versag het. Nuvigil neem langer om aksie te neem, en het a laer sleutel.","Was told by my Neurologist basically Provigil gave more of a short term punch then mellowed out.  Nuvigil longer acting, more low key.",afrikaans,b3676c20d03a0916f8e3ec392e509e2b05b23ed4639b0590fc26e663a42c55a5,Female,16.80699920654297,intron-MT,data/audio/intron/afrikaans/39b71a54b4c35b6a05dc49c353b6ed39_jUvd2vK8.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/
22606,"Hallo. My dokter het twee maande gelede vir my gesê my milt is effens vergroot, sonogram het 13 cm gewys. Die bevindings was verlede maand dieselfde.","Hi.  My doctor told me two months ago my spleen is mildly enlarged, sonogram showed 13cm.  The findings were the same last month.",afrikaans,623decda5611ef58a2f9b044f64e774f6d01d1e5ea41e5164784a340c460cacd,Female,11.991000175476074,intron-MT,data/audio/intron/afrikaans/a87b8450377af2613416f1f1654fd402_Kdm0ecfw.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/
25930,"Dit vereis behandeling deur die gebruik van toepaslike antibiotika en anti-inflamatoriese Gesels Dokter, Raadpleeg jou dokter vir ondersoek en behandeling ooreenstemmend met die erns van die kondisie. ",This requires treatment by the use of appropriate antibiotics and anti-inflammatory Chat Doctor.  Do consult your doctor for examination and treatment according to the severity of the condition.,afrikaans,732105475394c5f99a25f0e78d7efb4471d1172547f3c0a991b1eb5b468fa321,Female,13.829000473022461,intron-MT,data/audio/intron/afrikaans/4797a4a3f1565aac52f16775b5a7500f_95jEUSTI.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/
22969,Hierdie knoppe is heel waarskynlik klein talg siste en is baie algemeen en heeltemal goedaardig. Jy het niks om oor bekommerd te wees hier nie. ,These lumps are most likely small sebaceous cysts and are very common and completely benign.  You have nothing to be concerned about here.,afrikaans,1680c905402b306225503aea08ab95a522bb536b710e8d22a6b244b12b94bb57,Female,10.942000389099121,intron-MT,data/audio/intron/afrikaans/d88af8d14781c1ed4b36b295efd503c4_VTYBIVyR.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/
26094,sy voel duiselig en haar kliere voel regtig geswel.  Ek is regtig bekommerd oor haar en voel dit is die simptome van leukemie ,She feels dizzy and her glands feels really swollen.  I m really worried about her and feel like these are symptoms of leukemia.,afrikaans,3e5939466295fde9530255c0ad805b94ae35d74dac4689b8f8b060412cd17fc7,Female,12.616000175476074,intron-MT,data/audio/intron/afrikaans/01e904d3fb6e9540670e4b8bbcc34fbd_9Omr7Q2j.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/
26855,"Aangesien jy ook pigmentasie probleme het, gebruik n goeie sonskerm. Om pigmentasie te verminder, gebruik n goeie sonskerm, neem vitamien C en antioksidant aanvullings en gebruik n melaniserende room. ","As you have pigmentation issues also, use a good sunscreen.  To reduce pigmentation use a good sunscreen, take vitamin C and antioxidant supplements and use a melanizing cream.",afrikaans,732105475394c5f99a25f0e78d7efb4471d1172547f3c0a991b1eb5b468fa321,Female,15.937999725341797,intron-MT,data/audio/intron/afrikaans/8d7df443c965e72b7d2e18adfba5b32b_nl8VGP24.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/
27610,"Gereelde oefening dra by tot goeie , oordentlike slaap - wat sal help om die frekwensie van nag-emissies te verminder . Chat Doctor .",Practicing regular exercise will help to get good sound sleep which will help to reduce the frequency of night emission.  Chat Doctor.,afrikaans,6cf22a8411bc046483fe962480d477c7864c11a95cede5ad3daeb0a4ca99fba9,Male,7.698999881744385,intron-MT,data/audio/intron/afrikaans/b0bd56f9046f80ec4cbfd9906806a16b_ORZF20b3.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/
27604,"Ek is in baie pyn in my knieë en bene, my voete swel. Ek het nounet ‘n toets terug gekry dat my C-reaktiewe protein 19 is. ","I am in a lot of pain in my knees and legs, my feet swell.  I just got a test back that my C-reactive protein is at 19.",afrikaans,dccaa13e305513dc3b45d48fa996988db32c6f805f0b583b6e50c28f2bb0fe97,Female,8.706000328063965,intron-MT,data/audio/intron/afrikaans/d926a5a22e87e0084fc68591bd55233d_BnIvQ4jG.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/
22137,Ek het die afgelope 4-5 dae 'n vibrasie in my onderbuik opgemerk. Ek het dit oor die internet ondersoek en dit lyk baie gereeld.,I have noticed a vibration in my lower abdomen for the last 4-5 days.  I have researched this all over the internet and it seems quite common.,afrikaans,71444a08357e76d8f9cf03840c405e43b78de1a0f6b55fe9bc1f0c5785f1047c,Female,10.199000358581543,intron-MT,data/audio/intron/afrikaans/d2bd076845b026d4b3fd28624659f70f_OCMDe24e.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/
24626,"My man was die afgelope paar weke baie siek met longontsteking. Die Dr sê se longontsteking is weg maar s wte seltelling is nog baie laag, 1,5.","My husband has been very ill with pneumonia for the past several weeks.  The Dr. says s pneumonia is gone but s wte cell count is still very low, 1.5.",afrikaans,8fa0ec4af8f1d047a5051558074e6ae61cc4edd8c7382193823d0df59a7e92cd,Female,12.291999816894531,intron-MT,data/audio/intron/afrikaans/795979fdc1fe3d78bdc32b2ef33d0184_BRAv2UBu.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/
19875,Hy het die hele kamer onderstebo gedraai en dit uiteindelik in 'n hoek van die huis gevind.,He turned the entire room upside down and finally found it in a corner of the house.,afrikaans,d6750e1ea2c72ab140eb8a3fa190a07d8461ff14a54edd659104c61535ad6082,Female,5.828999996185303,intron-MT,data/audio/intron/afrikaans/0350b4e499ad87f03a385c6aeee71b5c_QtL0jFDy.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/
22743,"Enige ander longpatalogie moet ook uitgesluit word. N volledige bloedtelling , CRP, sputum vir mikroskopiese ondersoek en kultuur, en  n borskas x straal PA kan gedoen word","Any other lung pathology should also be ruled out.  A complete blood count, CRP, sputum for microscopic examination and culture, chest X-ray pa view may be done.",afrikaans,5035b71f87d9f0e7bbd42229a49a123500f45da911451bfc143bb3f20d058b8c,Female,17.198999404907227,intron-MT,data/audio/intron/afrikaans/0dbdaf8f47a080f04d368a19a97b0019_p1RY9TfG.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/
20704,"Sy het een suster (uit van drie) wat borskanker al twee keer gehad. Christina, my vrou het al gastritis vir maande nou. Haar doktor het endoskopie  uitgevoer en het bevind dat alles normaal lyk.","She has one sister (out of 3) who has had breast cancer twice.  Christina, my wife has had gastritis for months now.  Her doctor performed endoscopy and found everything appears normal.",afrikaans,893e286e15ceb3347b45aa76d2eb716a7dc01c2e64bbc45ea8686313c03f61f4,Female,16.542999267578125,intron-MT,data/audio/intron/afrikaans/2dc9e6ede6d90fda6e2cc30742b6f72d_8DBwdIuh.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/
