Language,qwen3-livetranslate-flash,azure-translate,gemma4,gpt-4o-audio-preview,gemini-3-flash-preview
afrikaans,,32.61829063324533,24.975990758257968,25.653474469826563,40.22729975527329
akan,,,1.0190851320209628,2.9286248375210673,8.728271425204701
amharic,,7.706374780354048,1.1583561427323166,0.602612032310576,14.780579116782288
arabic,,16.388548521818066,19.10489261372606,19.386395153439604,23.089058203130595
french,29.404813837302086,20.821776254467732,18.765271129888582,23.13452312823941,29.615097262239704
hausa,,,2.5294990668783845,0.5185157138684074,22.827582376438862
igbo,,,0.5098191606429295,0.3485175239225633,8.14431745778062
kinyarwanda,,,1.1998747435268817,0.7738094511542776,12.864391695243055
pedi,,,1.1385394391735133,0.9699866216592831,13.75684313654116
sesotho,,,0.7571002882051221,0.9601693934840001,13.529196779494828
shona,,,4.037861033457258,3.0342307358046803,16.755039809734278
swahili,,15.413252461075313,14.485740705502925,18.286028980324428,28.380457176479883
tswana,,,1.0794606632064814,0.9628224267033968,11.060567326736289
xhosa,,,2.20030102294488,2.4826828868627753,21.141436955705213
yoruba,,,0.581601243973338,1.6083493838518779,18.159794253637838
zulu,,13.645431952853375,4.826866760679189,4.335472889942743,25.326501133335245
