Language,azure-translate,gpt-4o-audio-preview,qwen3-livetranslate-flash,gemma4,gemini-3-flash-preview
afrikaans,57.43435641446688,50.563300559853396,,49.254308927034,64.17582677716598
akan,0.060361549979739436,24.08687286430791,,17.543070131715634,33.60080587715474
amharic,29.930687771648483,21.149828557334242,,15.76527461700562,43.44108454004916
arabic,43.03896064552135,49.45219296811491,,47.87033212255506,54.36179751144561
french,44.912738287816964,51.87010464972693,58.012465795305836,47.60842573369198,59.108850074787014
hausa,0.05600044800358403,20.336190492706642,,19.36775885792044,49.52976501181593
igbo,0.04821833261005834,19.68104814656382,,14.836191745794139,31.283735710829834
kinyarwanda,0.05177258968832802,22.391426814287822,,18.521952504807693,41.15490889186978
pedi,0.061486007756844145,21.865445516255367,,18.598769722958988,38.27069731923434
sesotho,0.04463300200591203,22.599396072918307,,18.561073209180684,39.89965005488262
shona,0.04317665729650008,26.157219262010933,,23.87727475407115,43.554958563920756
swahili,39.66146577717213,45.885730586774,,38.3432138808708,57.522315036115124
tswana,0.048683965594346075,21.266146868751676,,18.558075911158607,35.721038944094516
xhosa,0.06975942909830067,24.200748017919345,,22.27252868691809,47.30274299249369
yoruba,0.05623519632529414,21.651741239031697,,16.47152470610798,44.14713157127169
zulu,37.07741286344851,26.43978029221487,,25.07484583062246,52.4996333113117
