duration,language,domain,text,audio_path
14.961,Akan,intron,Me hwankye kɔ no dze ɔhaw biara nne ho na me gya me nan nanso ɔnyɛ mpɛn pii. Ɛyaw biara nni hɔn mu biara ho. Me yafunu yɛ me yaw bere a w'epia me anaa dɛ bere a m'akotow nu.,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Akan/77e1ecf6-f4b1-4666-b071-17046422e63b.wav
12.914,Akan,intron,"Me gyidi sɛ meyi wo nsɛmmisa no ano, sɛ wowɔ nhwehwɛ mu pii yɛ a m'ani bɛgye ho sɛ mɛboa wo. Meda wo ase sɛ wode Hyeat Dɔkta ayɛ adwuma. Nya akwahosan pa.",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Akan/e08541cf-b0d7-441b-a19a-62ffb03b480c.wav
10.757,Akan,intron,Megyedi sɛ wonim yɛnhyehyɛyɛ aa ɛka sɛ hwɛ na yanhwɛ obi wc abɛɛfo ntentan so.Nanso mɛtumi ama wo ma dwen kyerɛ na wadwen ho.Wo mpopoeɛ no bɛtumi ayɛ hahaayc,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Akan/7603adb8-601d-4ea4-b634-5df26f390018.wav
11.323,Akan,intron,"So monkɔ dan a wɔhwɛ ayarefo a hɔn tebea gye ntɛmpɛ no mu no, anaa mentweɔn kɛpem dapen ewie ansaana m'akɔ dɛ merekohu me datser ? Medaase.",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Akan/088ab905-741e-4ce7-a9ee-a82fe9237611.wav
22.831,Akan,intron,"Deɛ ɛtɔ so mmienu, ɛwɔ sɛ yɛ hwehwɛ ade foforɔ a ɛmaa no baa saa. Ɔbɛhia s3 y3y3 nhwehwemu hw3 s3 nea n'akoma bɔ si fa, a yɛfrɛ no ""echo"", ɛne s3 ne mogya so ate a, a yɛfrɛ no ""hemoglobin testing"". Ɛwɔ sɛ ɔte s3nea ɔfa nkyene ne nsuonsuo bi te sɛ nsuo, tea, nufusuo, coffee ne nea 3kekaho so koraa",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Akan/ed4882ef-f844-412c-bfd4-eb855d2a7814.wav
13.772,Akan,intron,"Ato no mprɛnsa anadwo yi, ne nyinaa ɛboro ahanu ne aduonu. Afutuo bɛn na wode bɛma yɛn? Ɛwɔ sɛ ɔsan nya adwumadie a yɛfrɛ no ablation no, anaa sɛ yɛntwɛn nhwɛ?",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Akan/385cedf5-b68c-4620-add6-f8fa7a3dd9d1.wav
11.045,Akan,intron,Meyɛ cbarima aa madi mfie aduonu nnum aa mahyehyɛ yie.aberɛ aa m'adomfo ka kyerɛ me sɛɛ mee tenetene m'apɔ mu abrɛ aa ma twetwe me barima awie ɛnyɛ ɛmma m'apɔmuden,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Akan/ed48fbb0-7513-481c-bdcd-cacbbb897888.wav
11.808,Akan,intron,"Me honam ay3 teteree, me te no w) me sr3 no akyi. Ey3 honam no nkoa na me te no w), eyaa, 3ba anadwo titiriw, te s3 oyaw an emu y3 nam.",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Akan/af33aae1-8ef4-4c92-9308-68473f54e928.wav
7.894,Akan,intron,E.coli mmoa wc medwonso mu ɛnti meefa Nitrofuruntoin nnawctwe baako.Me dokota dwen sɛ me prostate ayɛ kɛseɛ,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Akan/3453011d-72b9-4034-a6af-90a18cd91d79.wav
7.568,Akan,intron,"Medze kyerɛɛ ""derma"" bi nna osusuu eldercoid na medze Eldercoid (a baby steroid) yɛ no nda ansa  biara wɔ afe kor mu.",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Akan/d093b230-4181-42b2-9f09-7e3981a6769c.wav
