audio_path	language	transcription
/home/gabby/gates_benchmark/qa_dataset/Translate_only_Eng_to_Fulfulde/8985d43f9d32e7892beb790a979d77d4_cPvu0RiL.wav	fuv_Latn	mi waddi bingel am mudu biji nayi nyautolde hanne nyaluwa mi leli bingel on siroso wudenayan goddon amma bosaran gatimo de be waddi jokale on wuro be hi ti'an kofeti mira buti fude reto bosaru en gati shukale on mita yi fudere non wuti bo buti mi wadi yamdede bo ken dirabe mo an di bosaru nganya tibingel on jon bosaru don wui be meda hokku go bosaru on jibnen de be wi dun yahai yasi dun fija dun warta tun be wi be meda hokku go bosaru dun nikki sun kanjum wadi mi holi sai mi yahai waddugo bingel on nautorde ngam to bosaru dun ngati tukale on no wawi no wodi no bosaru dume hebata bingel go bosaru ngati bo dume wawi hiba futere wujjudum e buti dum nyau bana nyau bosaru wawi nasta der futere ko wawi wadugo bingel on sabbun ngati bosaru on si ko dume mi wawi wadugo ngam to nyaunata futere on dume jun nande e lekki hani hokka bingel on ngam hiba jam ko dume goddo mi wawi wadugo wala ko lekki mi wawi wadango futere den de bosare don ngati bingel
/home/gabby/gates_benchmark/qa_dataset/Translate_only_Eng_to_Fulfulde/367b6c1beeff153de6507f795d06a206_zWwfuLIk.wav	fuv_Latn	dai bo je jodata hasari amin o huwa dowada kugal mako bo o wala nyawu yande fere wakkati o do yi wa o nane en e mako do mari hunde petel satinga hada o numi wala ko dume o nani wala ko dume o lari o nani dum fahim nyande fere fahim do wakkati o dillai o fuddi numugo be mai sosai o fuddi numugo de mai on ha en e nyaku wala nyamugo molana wamo amma babali mai o sati bo sali dillugo o fuddi tum bo labari je ingol robbe je mari dum ha'i ndi naddi sati je sali o yahi larugo likita o yidi o anda dume on dasi dum de dumi on o wadata hala mai mdejema mdejemako mi on dasata hunde mai ha'i en idi bo ko mi onje satinga ha'i en i'o nagansa mi on de bolora talara fahim ha'i en imai
/home/gabby/gates_benchmark/qa_dataset/Translate_only_Eng_to_Fulfulde/654a64b274233d08e5dd443424b6f609_Il3mtpby.wav	fuv_Latn	jabore dum mo dum e safa neto teteti mo diri di lebbiji di'i ke dure makowai nga dimo nyawu do be am mi dai wi'i reduma fana mo dum dum e wi'i enko e wuti leya samako e o inna e o woya ngawna en bon kodi sembe mako sawa en makko biben sara en makko bi e don kodi tawi mutawa dada ko mungel dun yamde arandere de nyauto yami nyamde diga beren dume hani wadi gobela wo hade borede wojo on nyamre teta wure dume hanira bute go hefta nyamdun damreno yauren ero nde kikiya hani nyamderemo damrejo yauren ero nyamden di'a owadato bebo ero gendam dayayya hani of ujira
/home/gabby/gates_benchmark/qa_dataset/Translate_only_Eng_to_Fulfulde/b7945435a27748ee067b05b2e7f2c418_yl5nntAN.wav	fuv_Latn	jam ɓanɗu likita useni mi waɗi ɓingel am siɓɓiti ngam mi laari no fofata ɗon woni bana sautu henɗu ɗo sala babel petel ni ɗon bo bana goɗɗo ɗon fufa hunde bo daker o fofata mi hirliti bo balde tati jotta o ɗo ɗodda be jemma wakkati fere miɗo lara ɓerde mako ɗo nasta sossai lukka ɗo sossai bana sauto naftiri sembe mako o fofata milari bo o wala nyama bana ni to o nyamai fu sauto to nyamai fu sauto o nangi fofɗe mako seto o nangi fofɗe mako irin banni mai ɗon hokkata mo bone o ɗo kasa nyamugo boɗɗum balɗe tati jotta mi arti mi yari mo kemist petel ha fattude amin ɓe hokki mo lekki ɗojjugo ngam o ɗo ɗojja seɗɗa seɗɗa amma ɗojjugo mai hallai amma pat lekkiji o yari wala ko nafi mo fofugo mako bannin ni kuma har jotta o wawata nyamugo boɗɗum useni irin damuwa toi damata ɓingel am be fofugo mako ɗo bana hendu ɗo saala babel petum useni o handini hotona heɓa famta ko damatamo be kwaɗi ɓernde mako ɗo fatta jippa ɗo irin nyamdiji toi mi hokkata ɓingel ɗo ha saare hoyninamo heba o foofa boɗɗum ɗon irin lekkiji feere sibitinaa ko hundeji tan feere mataaki je hosata haɗo ɓingel ɗo
/home/gabby/gates_benchmark/qa_dataset/Translate_only_Eng_to_Fulfulde/1f9370eebab4290d473cde2592cac530_xvkrMpsV.wav	fuv_Latn	goɗɗo ɓe noddata subeeru duuɓi makko cappanɗe joyi nyannde ngon feere o fuɗɗi ƴowru arannde bo ƴowru ɗum yaaɗaayi ammaa nde ɗum faɓɓi asaweejo seɗɗa tan yaarugo lebbi ɓe hakkilo ɗum yahi ɗum halloyi nde neeɓi seɗɗa sey ɗum saldoriimo poppe ɗum goonga on o haɓdi bawɗe ko o waawata hinde ko nyawuru ɗum sataayi ammaa ɗum pat manjum ɗum waɗaayi nde hannuno o nyamɗita ƴowru tolliti nde o hillitii dow o yaha o sooda lekki dikka o yaha nyawdorde o yi'a nyawtoowo nde o yokki nyawdorde o hecci ɓe o ɗo ɗujja lebbi tati ko saali o lori fayin o hecci ɓe o haɓdii ko o waawata waɗugo bana ko yimɓe shaawari mo ko laarani jumri ndiyam fowuɗam goro jum kaɗɗu heɓele ki ɗuuɗi ke ko o suudi dahaanuno o nyamɗita sell njomuru wari tulliti ɗunyotte ke wakkati feere fofo gomahe saldaromo ganjowuro ɗum nyaaɗi se o ƴami nyawtawo on ko waɗi nyowuru ɗum neeɓiri bane ni salu nyamɗitugo o yiɗi o anda ko waɗi dabareji ɓe leɗɗe ɗe o fuuɗi fuu nafayi ragaro men o ƴami ɗume o wannata ƴowuru ɗum ɗum nyamɗita fuumaru ngam o heɓa o foofa no hani o lornita jam ɓandu makko
/home/gabby/gates_benchmark/qa_dataset/Translate_only_Eng_to_Fulfulde/abb29e2a2870abd763272e9bb1013f56_ff77scjd.wav	fuv_Latn	dada debboje danye nebai wari sibiti o bi tun bingel mako danye o dauta rufe iyam sosai kanjum wadi o wala sembe ha bandu mako den bo mo danyi mai dubi mago nogas e nayi o bi bo rufugo iyam mai dudi masin danta bo wata mo o wala sembe dada mai kasi yamugo be kuma kasi wadugo ko ɗume dembe am kanjum dume on waddata debbo dinga rufugo iyam ɗo bawo danyi balɗe seɗɗa sali ɗum nyaudiiku toy ɓe hokkata dada mai jey rufugo iyam may darata den bo o lorna sembe mako shawara toy hokkata dada may ɓe ɓingel mako am
/home/gabby/gates_benchmark/qa_dataset/Translate_only_Eng_to_Fulfulde/85348220c411afa6b31e56a1ee5100a1_U8wIyu76.wav	fuv_Latn	dattijo gorko warini amin sibiti goɗɗo wi'i o ɗo nana hoore mako ɗo nawa daande mako ɗo tiiɗi be kuma foofe peppetel wurtini mo ha ɓandu o wari emugo ɗume on waddata irin ɗo be kuma irin dawa toi hokkatamo min emi goɗɗo mai ko nawugo hore mai jotta warini mo na ko seɗɗa seɗɗa warinimo dottijo mai wi warinimo jemma den bo halli jotta min eminimo bo o ɗo lara hite na o wi a'a ngam hite o tullinamo nawol hore min emi mo fu hala fofe ha ɓandu mako koɗo nawa sosai ko seɗɗa seɗɗa dottijo mai wi fu finimo pat ɓandu kuma o wawata ewugo da pellel bi'ugo da pellel gotel amma ɗo yayamo ɓawo kanjum min emimo ko o fotti be nyauɗo ovi wala oyahi banda sorugo hunde ha yeso sare maɓɓe ɗemɗe amin hari kita kanjum ɗon ko waddata nawol hore be dande tiddataɗo har o wala wailita dande be fofe kohatoi ha ɓandu mako ɗume waddata ɗum nyawu je raɓata ɗon naa ko hundeji fere ɗemɗe am jeɗiɗa bo irin godi toi goɗɗo ɗo waɗata en andata lallai ko heɓi mo heɓa anda dawa be lekki toi o naftirta ba ko jaaɓo rugo furta
/home/gabby/gates_benchmark/qa_dataset/Translate_only_Eng_to_Fulfulde/612b88c302002700ef6c824d0bee5487_JVafDqdg.wav	fuv_Latn	debbo laari gorko maako debbo laari gorko maako do dojja be sembe to ummi be fajira be do leso mai ni dojjugo nonnon ni fuɗɗata o neeɓa ni bako dara balɗeji o waɗa ni o laari gorko maako o yara bone foofugo to o yaaɓi seɗɗa ni ko o fa'i scal o do dara lorna foofɗe maako nden bo o do yawa soomugo be lau don nyande gorko maako neɓi o do ɗojja be o do haɓda lorna foofɗe ɗami debbo may o fuɗɗi numugo ko ɗon nyawu je waddata damuwaji jango may sai o volwini gorko mako be yaha asibiti ɓe lara likita heba ɓe hefta ko damata on ɗemɗe may ɗume on waɗata ɗuttugo kalnuɗi bannin be yawugo somugo be fofugo dakere ɗo damuwa ɗo wawan ko shafi ɓerɗe na ko yanko shafi ɓerɗe hundeji toi ɗon waɗata goɗɗo maya ko tsarna goɗɗo bone fofugo harje goɗɗo mai handiri dasa hakkilo yauɗiɓe alamaji kalnuɗun je damuwaji fofugo je derdiraɓe handi lara hakkilina je tsugo be fofugo da kerɗum
/home/gabby/gates_benchmark/qa_dataset/Translate_only_Eng_to_Fulfulde/632fed9fd6caafa6b04acc21b3281845_swgorVyY.wav	fuv_Latn	jan bandu mi wari gam mini ko am mi lari ni gite jibe balli mako don wadi yalo yalo ne kuma banni mai ni har kusan balde tati bandu mabbe bo do wuli o dolla be zazzabi bo kuma be wawata nyamugo be wawata jogugo ko dume fu ha redu bo be do diwna be do somi wala sembe ngam hore mabbe do rigga do nawa be bandu mabbe do wuli min godi nafturgo hunde je min mari ha sare amma wala ko canji sam be damata be giteji mabbe be balli mabbe je canji kolo jalo har jotta dillai be do bedda beddugo tan kullum be wala der jam be yamdai be do yara bone kanjum wadi allah hadu be do nana bone sosai kanjum wadi min wari sibiti heba min handa ko min takata heba bandu mi ni ko am baldi begiteji je wadata jaloro haccen be hoinai
/home/gabby/gates_benchmark/qa_dataset/Translate_only_Eng_to_Fulfulde/74d2c2539d22f06d6b6e1e053f9721aa_p44tmTP2.wav	fuv_Latn	ɓinngel am waɗi reedu duuɓi makko wudala so henayi kanko mo woodi reedu ko feeti hannde bo jeema mi yisi o ɗo woodi nawuɗo o arti o mofti kare makko o wari wuro am non ɓeydi nde mi laari nawuɗo makko daraayi mi mofti kare makko arannde kam o yiɗa mi yaara mo nyawdorude mi yaari mo nyawdorude ɓe laari mo ɓe wi'i remirde makko fuɗɗi no maɓɓito nden wakkati o danyol maɓɓito nden wakkati o danyota ɓadi haa jotta kam danyoyi makko no ɓanti fa wakkati kon cukale on wurtoyta inga keenya kam cukale on no nane nawuɗo nawuɗon ndon ɓedota hammi jotti o wondi nawuɗon cukale makko wurtayi ridu makko arande on hakkilo am ummi ɓene am de itake mi yiɗi mi yida ɓinge am mi yiɗa mi soya ɓinge am ge warta du useini ɗume fodata nawudon on non dayodan arande wa'ina no fodata de wi'a ɓinge fotayi wurta hide alaura ko baɗon seka mo
