audio_id,language,subset,local_path,reference,url,model_answer,requested_model,model_id
a921421a-5a74-4099-b2ff-7e857fd1d354,english,good_english,/data/Intron-Multimodal-Benchmarking/data/gates_data/audio/af6ace06eb9c166ea21d14b725dfe032_ikQsvTqh.wav,"A mother gave birth to a newborn two weeks ago. She started seeing blood little by little on her body. However, as the days went by, she noticed that something like the stomach and blood were coming out. Sometimes the mother of the child is different. And she has a neck that is not good. And she knows that the mother of the child usually has small pains in her lower abdomen, and every time she sees these signs, her heart gets confused. She wondered if it was something among the common problems after childbirth or another problem. One day when she went to the hospital, and was talking to other mothers, she heard that they should not downplay any changes they see in their bodies. This made her seek a doctor to talk to them. My question is, what can cause such a thing after childbirth? Can pain in the lower abdomen be a sign of a disease? What are the signs that this new mother should be careful of after childbirth? What are the steps that the mother needs to take to prevent this disease?",http://speech-app.s3.amazonaws.com/static/audio/uploads/d376f16d-8a40-477f-86c0-22c5e7c0fabe/af6ace06eb9c166ea21d14b725dfe032_ikQsvTqh.wav,"I’m going to think through the likely postpartum causes and the key warning signs to watch for, then I’ll suggest practical next steps.Some bleeding for weeks after delivery (lochia) is normal, but heavy bleeding, large clots, or a bulge/tissue coming from the vagina can be due to retained placental tissue, infection, poor uterine contraction, or uterine/pelvic organ prolapse, which needs prompt examination. Lower abdominal pain can be a sign of postpartum uterine infection (endometritis), retained products, urinary infection, or other complications, especially if it is worsening or persistent. Warning signs to watch for include soaking pads quickly, passing large clots, foul-smelling discharge, fever, severe abdominal pain, dizziness/fainting, shortness of breath, severe headache/visual changes, or a vaginal bulge. She should seek urgent care for any of these signs, attend postnatal visits, practice good perineal hygiene, avoid heavy lifting early on, start gentle pelvic floor exercises when advised, and use family planning and anemia treatment as recommended.",GPT Realtime 2 (audio),gpt-realtime-2
48eb67dd-3ea9-4e95-9aeb-6f739d5c047b,english,good_english,/data/Intron-Multimodal-Benchmarking/data/gates_data/audio/d4efc0e2708246ed472102cdf3811037_ASnp9s1f.wav,"My name is Mrs. Akinleye. For about the past two months, I have noticed that my husband's breathing has not been normal at all. He also sneezes repeatedly, especially whenever he is in a dusty environment or in a place where something is being fried. He sneezes repeatedly and finds it difficult to breathe properly.

His breathing becomes laboured, and he tends to sneeze whenever he is in places with smoke or dust.

Is there any test that can be carried out to determine exactly what is causing these symptoms? Could staying in dusty places be the cause, or is his body's system changing in a way that is making this happen? What type of medication can he use so that his breathing will become normal and comfortable at all times, wherever he may be?",http://speech-app.s3.amazonaws.com/static/audio/uploads/5c2b47ff-934e-40c4-b5b5-432f28b0e0d2/d4efc0e2708246ed472102cdf3811037_ASnp9s1f.wav,"Your husband’s symptoms sound consistent with allergic airway disease, such as allergic rhinitis with possible asthma, triggered by dust, smoke, and frying fumes. Tests that help include spirometry (lung function test) with reversibility, a peak flow diary, and, if available, allergy testing; a chest X-ray may be done if the diagnosis is unclear. He should avoid triggers as much as possible (dusty environments, smoke, strong cooking fumes) and ensure good ventilation when cooking. Common treatments include a short-acting bronchodilator inhaler for relief, an inhaled corticosteroid if asthma is confirmed, plus a non-sedating antihistamine and/or a nasal steroid spray for allergic symptoms. If he develops severe breathlessness, chest tightness, or symptoms at rest, he should seek urgent medical care immediately.",GPT Realtime 2 (audio),gpt-realtime-2
193bc635-2a7a-48d4-a2a1-d80de70d3f1b,english,good_english,/data/Intron-Multimodal-Benchmarking/data/gates_data/audio/2bd4ee05cdcf559317294ce081a41a2e_cWWA0Fbu.wav,"​We saw one of our pregnant women early this morning along with her husband, she said that she has severe pain in her abdomen and her back is also aching, even though it is not yet up to her delivery date. We asked this lady how many months pregnant she is, and she said it is a pregnancy of six months and a few days. We then also asked this lady whether she is experiencing that pain right now or if it comes and goes, and she said she is experiencing that pain right now. Then we asked this lady whether she saw water or saw blood, and she said that she saw water and blood. We then also asked this lady which number of child, which number of pregnancy is the pregnancy that is inside her, and she said it is her first pregnancy. Our question for our doctor is,could this sign point to signs of labor, or a sign that the pregnancy is damaged (miscarriage), or another sign? Can we tell this lady to go and do an internal photo examination which we call a scan to know what is happening?",http://speech-app.s3.amazonaws.com/static/audio/uploads/0d76b810-cd58-4c7b-bbaa-14e1db431104/2bd4ee05cdcf559317294ce081a41a2e_cWWA0Fbu.wav,"I’ll think this through as an urgent obstetric situation and explain what it likely means and what to do next.At about six months, severe abdominal/back pain with vaginal bleeding and leaking “water” is an emergency and can mean preterm labor, ruptured membranes, or placental problems, not simply a routine sign of labor. She needs urgent assessment in a hospital with obstetric care; do not rely on a scan alone or delay care to arrange one. If membranes may have ruptured, avoid a digital (finger) vaginal exam; a speculum exam and ultrasound can help assess bleeding, fluid loss, and the baby, but treatment should start promptly based on clinical findings. She should be referred immediately for monitoring and management to reduce risks to both mother and baby.",GPT Realtime 2 (audio),gpt-realtime-2
f5841173-3fa3-4104-943b-1116a20e44f2,english,good_english,/data/Intron-Multimodal-Benchmarking/data/gates_data/audio/2a24b6a777be7016fe4491f1783f310a_bXIVt5TF.wav,"A mother peju who has three children, peju is the junior child. Peju is a one-year-old child. Peju's mother noticed that, just a few days after childbirth, Peju has had a cough illness and has been coughing continuously without stopping at all. She said she also noticed that it is difficult for her to breathe well. She said this cough appears mostly in the evening, when everyone has gone to sleep. She said her breath is also difficult to breathe well, because this cough does not allow her to breathe in and out properly. She said she has been to the herbalists and has given her herbal mixtures, but she noticed that none of the herbal mixtures she used worked. She said she then decided to go to the hospital so they could find out what happened to Peju. Can this problem be cured for this child? Is it a chest disease or asthma that it could be for the child? What are the things that the child needs to avoid so that this problem affecting her and causing her to cough can be significantly reduced?",http://speech-app.s3.amazonaws.com/static/audio/uploads/5ed8e0c7-30e1-442b-aaa0-81777152de9e/2a24b6a777be7016fe4491f1783f310a_bXIVt5TF.wav,"I’m going to think through the most likely causes and what should be done urgently to keep this child safe.This child needs urgent assessment in a hospital because continuous cough and difficulty breathing since early infancy can be caused by several conditions, and some can be life-threatening if not treated promptly. Asthma is possible at this age, but a cough starting soon after birth also raises concern for other causes like congenital airway or lung problems, heart disease, pertussis, or reflux with aspiration, so tests and a careful exam are needed before labeling it “asthma.” Many causes are treatable, but the outlook depends on the specific diagnosis and how quickly proper treatment is started. Avoid smoke (including cooking smoke), dust, strong scents, and any herbal mixtures, and keep the child’s routine immunizations up to date. If there is fast breathing, chest indrawing, bluish lips, poor feeding, or unusual sleepiness, seek emergency care immediately.",GPT Realtime 2 (audio),gpt-realtime-2
0429f217-2ba8-4fde-b80b-a3a545934026,english,good_english,/data/Intron-Multimodal-Benchmarking/data/gates_data/audio/0df772cf4bd08662a32ef9f68b31cd07_Cfyaxdur.wav,"I’m 32 years old , I just gave birth , I just gave birth 7days ago , I noticed that if I’m breast feeding the child , he struggles to suck the breast , if the child suck a little bit , the child will remove his mouth if I try to put the breast in his mouth so he can suck , he will suck again a little bit and remove his mouth , I now thought that why did the child doesn’t suck breast well , I now noticed that the child has cold , his not breathing out well like a child snoring that’s how he sounds, I call the attention of my mother in law , she say maybe while we want to give birth to the child maybe water enters his head or other things but I thought if water enters his head , the nurses and doctors ought to know if water enters the child’s head , what now shattered my heart the most was the way he’s not feeding well , it’s giving me concern and my mind is not at rest , he doesn’t suck well at all , it’s by force any time I want to breastfeed the child , I have to wake him to suck a little that’s if he agrees to , what I want to ask is that what’s the cause of the cold that he doesn’t breathe well and that anytime he breathe it’s would look like someone that the nose is blocked  and that what is the cause that he’s not sucking breast well .",http://speech-app.s3.amazonaws.com/static/audio/uploads/9cc562be-c195-4c12-8c16-130f86eb5fa9/0df772cf4bd08662a32ef9f68b31cd07_Cfyaxdur.wav,"I hear how worried you are; let’s think through what could be happening and what to do next.Newborns are “nose breathers,” so a blocked nose from normal newborn mucus, a cold, or swelling (neonatal rhinitis) can make sucking difficult and cause snoring-like noisy breathing. Poor feeding, needing to force feeds, or being very sleepy with feeds is a warning sign and needs urgent assessment to rule out infection, dehydration, or a structural blockage like choanal atresia. You can try saline nose drops and gentle suction before feeds, keep him upright, and ensure good latch, but do not delay going to a clinic/hospital if feeding remains poor. Go immediately if he has fast or difficult breathing, pauses, chest indrawing, fever or low temperature, blue lips, or very few wet diapers. “Water entering the head” is not a cause; the main concern is nasal obstruction or illness affecting breathing and feeding.",GPT Realtime 2 (audio),gpt-realtime-2
5c0d4c54-a56b-4866-aaf3-9a209ad6e81e,english,good_english,/data/Intron-Multimodal-Benchmarking/data/gates_data/audio/1bd18e09502433a260e019b03c7a2a30_DaAjTsHW.wav,"Doctor, a mother living in our house began to notice that her baby was not breastfeeding well. Whenever she tried to breastfeed the baby, the baby would suck for a little while and then stop as if exhausted.
The mother also noticed that the baby did not have enough strength to breastfeed and would sweat heavily on the head and face. Not only that, the baby's breathing changed; it seemed as though the baby was breathing upward and downward, like someone struggling to breathe.
As the days went by, the mother became increasingly worried. She wondered whether it was because the baby was not feeding enough, or whether there was a problem related to the baby's breathing and sweating. Therefore, she decided to go to the hospital to see a doctor for an examination of the baby.
My question is: what could cause a baby to have difficulty breastfeeding properly? Is the way the baby is breathing a sign of any health problem? What danger signs should the baby's parents watch out for? What could cause a young child to sweat while breastfeeding?",http://speech-app.s3.amazonaws.com/static/audio/uploads/c130082b-c98c-4348-8ad5-65a748d7cfdb/1bd18e09502433a260e019b03c7a2a30_DaAjTsHW.wav,"Poor feeding with easy exhaustion, heavy sweating during feeds, and fast or labored breathing can be a sign of heart failure in an infant, often due to an underlying congenital heart problem, though severe chest infection, sepsis, or significant anemia can cause similar symptoms. The breathing pattern you described suggests respiratory distress, which is a medical warning sign and needs urgent assessment. Sweating on the head and face while breastfeeding happens because feeding is “exercise” for a sick baby, and in heart failure they tire quickly and sweat profusely. Parents should watch for fast breathing, chest indrawing, grunting, bluish lips/tongue, very poor feeding, reduced urine, fever, or unusual sleepiness. This baby should be taken to the hospital promptly for examination, oxygen if needed, and tests like pulse oximetry, chest X-ray, and heart evaluation.",GPT Realtime 2 (audio),gpt-realtime-2
47a7b745-bfa9-466f-99b2-9e9b789272f4,english,good_english,/data/Intron-Multimodal-Benchmarking/data/gates_data/audio/b4f40da326990dd52eec1b1d2d945b52_IIsse8wd.wav,"A mother of a young child became worried about her eight-month-old baby. During the daytime, the baby plays well, but every night the baby starts coughing. The cough wakes the baby from sleep, and the baby cries afterwards.
On one of those nights, the mother noticed that the baby was breathing very fast and seemed to be struggling to breathe. The mother could not sleep because of fear. The following morning, she noticed that the baby did not want to breastfeed or play as before, so she decided to take the baby to see a doctor because she wanted to know what was causing the cough and the breathing difficulty and to know what medicine or treatment could be used for the baby.
My question is: what could cause a young child to cough severely at night and also make it difficult for the child to breathe properly? Could the cough and the struggle to breathe properly be signs of a lung disease? What are the things that can be done at home to help the baby become more comfortable and sleep better at night?",http://speech-app.s3.amazonaws.com/static/audio/uploads/5d17fda2-a578-46e0-bfc6-5ee2baed3026/b4f40da326990dd52eec1b1d2d945b52_IIsse8wd.wav,"I’ll think this through with the most likely causes in mind and focus on what’s safe to do at home versus what needs urgent care.Severe night cough with fast or difficult breathing in an 8‑month‑old can be caused by infections like bronchiolitis or pneumonia, and sometimes by asthma-like wheeze, pertussis, or reflux/post-nasal drip. The poor feeding and reduced play after a night of breathing struggle are danger signs, so this baby needs prompt medical assessment to check oxygen level and chest findings. Some “long” conditions such as asthma or pertussis can cause prolonged cough, but they should not be assumed without evaluation, especially in an infant. At home, keep the baby upright to sleep (not flat), clear the nose with saline drops and gentle suction, use a cool mist/humid air, continue frequent breastfeeding, and strictly avoid smoke or strong fumes. Do not use over-the-counter cough syrups in infants; seek urgent care if there is fast breathing, chest indrawing, grunting, bluish lips, poor drinking, or unusual sleepiness.",GPT Realtime 2 (audio),gpt-realtime-2
ec4b4ec7-75ef-41ca-ba6f-fc5c6c69d144,english,good_english,/data/Intron-Multimodal-Benchmarking/data/gates_data/audio/06d192550816689893b8150456523768_pBOqs4ud.wav,"A woman had a baby—a child—about five months ago. She explained regarding the child that there was nothing wrong at the time she gave birth, as the baby was feeding vigorously as expected. Suddenly, she noticed that the child would cry out in pain in their arms and legs. It also reached the point where the child would call for help to get up, to crawl, or to move, so as to reach their mother. Please, what can this woman do for the child to relieve the pain in the arms and legs, and to ensure they don't delay their developmental milestones? Therefore, the mother wants to come to the hospital with the child to see a doctor to find out what can be done to help the child's body recover and be in a healthy state",http://speech-app.s3.amazonaws.com/static/audio/uploads/cb7d0ab6-f969-40eb-9258-ad4b55bd80ae/06d192550816689893b8150456523768_pBOqs4ud.wav,"I’ll think this through with the most likely causes and the safest next steps in mind.This child needs urgent assessment in hospital because limb pain with delayed milestones can be caused by treatable conditions like rickets (vitamin D/calcium deficiency), infection in bone/joints, sickle cell-related bone pain, or less commonly fractures or nerve/muscle problems. While waiting, handle the child gently, avoid forceful walking or “exercise,” and continue usual feeds; do not start herbal remedies or adult medicines. In hospital, the doctor will examine the joints and bones and may request tests such as X-rays, blood tests for calcium, phosphate, alkaline phosphatase, vitamin D, and infection markers, and, if relevant, tests for sickle cell disease. Treatment depends on the cause and may include vitamin D and calcium supplementation for rickets, antibiotics for infection, pain control appropriate for infants, and a physiotherapy plan to support safe motor development. Early treatment usually improves pain and helps the child catch up on milestones.",GPT Realtime 2 (audio),gpt-realtime-2
ada6aff0-d3eb-45ce-90d5-529d6308338d,english,good_english,/data/Intron-Multimodal-Benchmarking/data/gates_data/audio/af15a019b54b875a5fd6ac4eb70407c0_111HqeS2.wav,"A wife observed that her husband has a headache, and the headache is really really bad. It quite much to the extent that the man has a stiff neck unable to turn it to the left or right as it ought to be. She now observed some very tiny sores which were not on the man's body before but suddenly occurred. This scared the woman that this kind of occurrence that happened to her husband what can be the cause and what can she do? The question I asked the woman was that has her husband ever had a high fever and a kind of drug was used? She said no. Or that the man, the bed he sleeps on what he uses as pillow hope it's not that he slept on the neck the woman said no it is not that he slept on the neck but suddenly the headache started and it was consistent with a stiff neck and very tiny sores around the body. If something like this happens, what can that kind of wife do to help care for her husband and he will return to his normal self? ",http://speech-app.s3.amazonaws.com/static/audio/uploads/c1d66b1c-1f82-40b2-bdd6-48cb8098643e/af15a019b54b875a5fd6ac4eb70407c0_111HqeS2.wav,"This combination of sudden severe headache, stiff neck, and a new widespread rash or “sores” is a medical emergency and could be meningitis (sometimes with a bloodstream infection), which can be rapidly life-threatening. Even without high fever, the stiff neck and severe headache are red flags that need urgent hospital assessment, not home treatment. She should take him immediately to the nearest hospital with emergency services for evaluation, including possible tests of blood and maybe cerebrospinal fluid, and prompt antibiotics if suspected. Do not delay by trying to link it to the bed or neck position, and avoid giving sedating medicines or strong painkillers that could mask symptoms before he is seen. Prompt treatment greatly improves the chance of recovery.",GPT Realtime 2 (audio),gpt-realtime-2
6c4ab0d8-695b-453c-b3c0-db41ba12f1f7,english,good_english,/data/Intron-Multimodal-Benchmarking/data/gates_data/audio/bfb28059877e5a1ae852d394c0e93371_GVWpRisH.wav,"My daughter is pregnant; she is about twenty-four years old. She is the one who is pregnant. This happened today.
At night, I noticed that she started having pain. She had already packed her belongings and came to my house. As the pain continued, I saw that it was increasing. I gathered all her belongings, and she did not initially allow us to go to the hospital.
We took her to the hospital, and they examined her. They said the cervix has started to open a little, and that it is almost time for delivery.
Until today, the cervix is still opening until the time the baby will come out. Yesterday, the baby was still in pain that kept increasing since we arrived there.
She is in pain, the baby will come out, it is her first pregnancy. I am worried and my heart is troubled.
I want to save my child, and I do not want to lose the baby that is coming. Please, what could be causing this pain? Is this how it usually is for first-time mothers when they are about to give birth? Is it possible the baby is too big and cannot come out through the birth canal? Or is it possible they will do surgery for her?",http://speech-app.s3.amazonaws.com/static/audio/uploads/d5509e58-a2b1-40ca-8b13-2b7a616524d3/bfb28059877e5a1ae852d394c0e93371_GVWpRisH.wav,"I’m going to think through what’s normal in early labor and what warning signs would mean she needs urgent review.Labor pain from uterine contractions and the cervix opening is normal, and in first pregnancies it often feels strong and can take longer. The only way to know if the baby is too big or the pelvis is too small is through ongoing assessment of labor progress and the baby’s condition. A caesarean section is used if there are clear problems like obstructed labor, dangerous delay, or fetal distress. Ask the team about pain relief options and whether labor is progressing normally. Seek urgent review if there is heavy bleeding, fever, foul-smelling waters, very reduced baby movement, or constant severe pain not coming and going.",GPT Realtime 2 (audio),gpt-realtime-2
