id,transcription,translation,language,speaker_id,gender,duration,source,audio_path,audio_root,file_exists,reference,hypothesis
20722,"J'ai eu 6 traitements précédents qui se sont plutôt bien déroulés, puis un scope réussi après 6 semaines et maintenant 3 traitements par sécurité car j'avais initialement 5 tumeurs papillaires.","I had 6 previous treatments that went pretty well, then a successful scope after 6 weeks and now 3 treatments for safety purposes as I initially had 5 papillary tumors.",french,05b17aaa6c78621e1872402bdda96fe780d57a564a9a7d5a56d9936b275aa77d,Female,12.461999893188477,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/french/05b7408fff768c87825aa98604099604_Y326INH4.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,"I had 6 previous treatments that went pretty well, then a successful scope after 6 weeks and now 3 treatments for safety purposes as I initially had 5 papillary tumors.","I had 6 previous treatments that went pretty well, then a successful scoop after 6 weeks and now 3 treatments for safety because I initially had 5 or 9 butterflies."
20257,"Bonjour,
Mon ami a un problème de tension, souvent élevée. Toutefois, il ne souffre d'aucune maladie cardiaque, ni de quelconque autres maladies. Son problème d'hypertension serait probablement lié à son hérédité.",hi my friend has a high bp problem but he is not suffering from any heart diesease or any other kind of disease this high bp is probably in his heredity.,french,15dff55d57fbd28f99e3dfc71769a2cd680f0a8957c7c6163d58977a70c01e37,Female,16.8439998626709,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/french/eb11077390257d8d1712aac65e402c08_3Q8ovn7Z.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,hi my friend has a high bp problem but he is not suffering from any heart diesease or any other kind of disease this high bp is probably in his heredity.,ERROR
20215,"Bonjour 
Les pertes blanches peuvent être des symptômes de grossesse. Vous faites le test de grossesse le plus tôt possible et cela ne pourra détecter une grossesse à ce moment.vous avez un cycle menstruel de 31-35 jours.","Hi, White discharge could be symptoms of pregnancy.  You did pregnancy test very early, and it can not detect pregnancy at this time.  You have 31-35 days cycle.",french,15dff55d57fbd28f99e3dfc71769a2cd680f0a8957c7c6163d58977a70c01e37,Female,13.95300006866455,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/french/3265e8b4532754f132dc55da0619ce0e_mZ96bBgr.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,"Hi, White discharge could be symptoms of pregnancy.  You did pregnancy test very early, and it can not detect pregnancy at this time.  You have 31-35 days cycle.","Hello, white discharge can be a pregnancy symptom. You take the pregnancy test as soon as possible. It will not detect pregnancy at this time. You have a monthly cycle of 31 to 35 days."
20723,Et quelle est votre certitude quant au jour où vous pensez être fertile ? Êtes-vous sûre d'ovuler ce jour-là ?,and how sure are you about the day you meant you are fertile? do you know that you are sure to ovulate on that day?,french,05b17aaa6c78621e1872402bdda96fe780d57a564a9a7d5a56d9936b275aa77d,Female,6.019999980926514,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/french/f2a770fe8ab095f88c2534252549cb39_yzWonHLK.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,and how sure are you about the day you meant you are fertile? do you know that you are sure to ovulate on that day?,And what is your certainty about the day you think you will be fertile?
16337,"Dans ma maison, un homme de 58 ans qui ne fume pas a récemment passé une prise de sang, et on a découvert de la nicotine dans son sang.",In my house a 58 year old man who does not smoke recently took a blood test and was found to have nicotine in s blood stream.,french,da127a59a7f9c74f4fee5bffac06e4c23e56ccd2c04e75f6ab356c6bd05b7e26,Male,12.50100040435791,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/french/a5e31f658b89da28319228279b5aeacb_tS3Wl4nC.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,In my house a 58 year old man who does not smoke recently took a blood test and was found to have nicotine in s blood stream.,"In my house, a 58-year-old man who does not smoke recently had a blood test and discovered nicotine in his blood."
24762,"J'ai très mal au palais, à l'arrière gauche. Mes dents du haut et du bas, ma mâchoire et le côté gauche de ma langue me font vraiment mal","I have very bad pain on the back left roof of my mouth.  My left top and bottom teeth, jaw and the left side of my tongue is really sore.",french,98a94a107ff8fd378d025058da20eaecad8870aba0c34c0baee97ced0b933807,Female,14.484999656677246,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/french/c58e5e440e258ab036f9f5a8d7ac1b2c_Mlw9nqgJ.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,"I have very bad pain on the back left roof of my mouth.  My left top and bottom teeth, jaw and the left side of my tongue is really sore.",My palate hurts a lot.
20716,"J'ai essayé le Zyrtec, le Claritin, le Claritin D , et même un médicament contre la toux et le rhume (pas tous en même temps, mais à des jours complètement différents).","I ve tried Zyrtec, Claritin, Claritin D , and even a cough/cold medicines (not all at once, but on completely different days).",french,05b17aaa6c78621e1872402bdda96fe780d57a564a9a7d5a56d9936b275aa77d,Female,11.60200023651123,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/french/cf591564199897856b5618983e0621b4_WpkemiS3.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,"I ve tried Zyrtec, Claritin, Claritin D , and even a cough/cold medicines (not all at once, but on completely different days).","I've tried zirtech, claritain d and even a cough and cold medicine, not all at the same time, but on completely different days."
20726,"J'ai du mal à me tenir droite tellement la douleur est forte, mon ventre est très gonflé, cela a commencé il y a 2 jours.","I am fiding it difficult to stand up straight the pain is so bad, my tummy is very booated this started 2 days ago.",french,05b17aaa6c78621e1872402bdda96fe780d57a564a9a7d5a56d9936b275aa77d,Female,7.209000110626221,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/french/4f40032ce0efb295f9fb1c265be2ee80_wZEsU2cs.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,"I am fiding it difficult to stand up straight the pain is so bad, my tummy is very booated this started 2 days ago.",I have trouble standing up straight because the pain is so strong. My belly is very swollen. It started 2 days ago.
20727,Je n'ai personne pour m'emmener au bureau qui se trouve à 28 minutes en voiture de mon domicile. Dois-je appeler un taxi ? Puis-je conduire moi-même ?,I have no one to take me to the office which is 28 min drive from my home.  Should I be calling a cab.  Can I drive myself ?,french,05b17aaa6c78621e1872402bdda96fe780d57a564a9a7d5a56d9936b275aa77d,Female,8.550999641418457,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/french/b1e71aadcfe579fafb0242374578b78b_xmXkV0xa.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,I have no one to take me to the office which is 28 min drive from my home.  Should I be calling a cab.  Can I drive myself ?,"I don't have anyone to take me to the office, which is a 28-minute drive from my home. Do I have to call a taxi? Can I drive myself?"
16502,"J'y suis allé soigner mon dos, ils m'ont donné du percocet 3 mois et ils vont toujours bien le premier mois, ils m'ont donné de la vicodine mais ça n'aide pas",i been going thouh the pain care for my back they gave me percocet 3 mouths ago an still get them well the first mouth they gave me vicodin but dont help.,french,df005a9e5315657b4c8e4facba2241a684e2f8b161dfacf1d9c5c7fca9ad863b,Male,12.746000289916992,intron-MT,/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/french/350d0b1f137cbadd26cc843478a3c8c6_EEc9RajV.wav,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/,True,i been going thouh the pain care for my back they gave me percocet 3 mouths ago an still get them well the first mouth they gave me vicodin but dont help.,"I went there to treat my back. They gave me father. Trial 3 months and they are still fine. The first month, they gave me Vicodine, but it wasn't."
