audio_path,duration,text,language,source,root,file_exists,hypothesis
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/kinyarwanda/68c40fbe1161d26172e119ba2c59ad78_PWD60zWF.wav,13.4350004196167,Muri icyo gihe umuvuduko wange wari 11.78. umuriro wange ari 97.6.Nsanzwe nkoresha iyi miti mu kugabanya guhangayika. 75mg zoloft,kinyarwanda,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,muri icyo gihe umuvuduko wanjye wari cumi na rimwe n'icenu mirongo irindwi n'umunani umuriro wanjye arimo mirongo icyenda na karindwi n'ibice bitandatu nsanzwe nkoresha iyi miti mu kugabanya mu guhangayika zorofite ya miri garama mirongo irindwi n'eshanu
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/kinyarwanda/4e20b8e55a6cd2424ce497754a67ffc1_WTnkuk76.wav,19.93899917602539,"Imyaka 2 mbere mugihe cyo kuruhuka, i ariko ikirenge cyanjye gito n'amaguru yanjye yavunitse amaguru yanjye yajeho ibiheri bitukura, ariko nta bubabare bwabayeho. iki gishobora kuba iki?",kinyarwanda,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,iyaka ibiri mbere mu gihe cyo kuruhuka ikirenge cyanjye gito n'amaguru yanjye yaavunitse amaguru yanjye yajeho ibiheri bitukura ariko nta bubabari bwabayeho iki gishobora kuba iki
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/kinyarwanda/09ea2ef83bbc9431f90c04f156589868_uFzFJEMD.wav,17.05299949645996,"Mfite impungenge akakanya  zijyanye na bilirubin na urobilinogen, zihora zifite ibipimo bihagaze nabi kubizamini byinkari. Nubwambere mbonye ibisubizo bimeze nkibi.",kinyarwanda,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,mfite impungenge aka kanya zijyanye na birurubine na yurubirinojene zihora zifite ibipimo bihagaze nabi ku bizamini by'inkare ni ubwa mbere mbonye ibisubizo bimeze nk'ibi
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/kinyarwanda/edf78a0719084af4d6ddcf5bf953ae36_TjNAbyeD.wav,26.04199981689453,"Bityo, nk’uko inama nshya zibivuga, ibyo bikwiye kwirindwa. Ushobora kugisha inama muganga wawe kuri ibyo, kugira ngo abashe gukora impinduka zikenewe.",kinyarwanda,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,bityo nkuko inama nshya zibivuga ibyo bikwiye kwirindwa ushobora kugisha inama muganga wawe kuri ibyo kugira ngo abashe gukora impinduka zikenewe
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/kinyarwanda/09ecc87b4bb415a955b50faf936ffba3_3wXhB1A2.wav,10.038999557495115,Mukwa 2 kuyu mwaka nazanye ikibyimba mwibere ryanjye  basanga atari kanseri Gusa muganga yambwiye ko biterwa numusemburo witwa aldactone,kinyarwanda,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,mu kuwa kabiri k'uyu mwaka nazanye ikibyimba mu ibere ryanjye basanga atari kanseri gusa muganga yambwiye ko biterwa n'umusemburo witwa ardactone
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/kinyarwanda/e4161d3b3c2b173f3c1a7e0493a52ec9_uVyC6skS.wav,11.357000350952148,"Ubu umugongo wange umeze nabi kurusha mbere, mbabara buri munsi, mara igihe kinini cy'umunsi wange nicaye nkanunama kugirango ngabanye ububabare. ",kinyarwanda,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,uwu mugongo wanjye umeze nabi kurusha mbere babara buri munsi mara igihe kinini cy'umunsi wanjye nicaye nka nunama kugira ngo ngabanye ububabaro
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/kinyarwanda/9f1712f278654a406a001e8d41494e1e_V9cs2Rlq.wav,14.373000144958496,Hari ibizami bikeneye gukorwa: ibizami by’imikorere y’umwijima: kuko uburwayi bukabije by’imwijima nka Hepatite butera isukari nke mu maraso. ,kinyarwanda,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,hari ibizami bikeneye gukorwa ibizami by'imikorere y'umwijima kuko uburwayi bukabije bw'umwijima nka hepatite butera isukari nye mu maraso
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/kinyarwanda/3d5a59d9ab88c4a6f01f441da00e0691_K94lANfG.wav,21.584999084472656,Nagumye mubitaro mugihe kiri hagati y'iminsi 7-8. ubu ndimo gufata umuti wa Walfarin buri munsi. bansezerera mubitaro igisebe cyari cyarorohewe ariko gucika intege byo byarakomeje mukuboko kwanjye kw'ibumoso.,kinyarwanda,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,nagumye mu bitaro mu gihe kiri hagati y'iminsi irindwi n'umunani ubu ndimo gufata umuti wa warufarine buri munsi bansezerera mu bitaro igisebe cyari cyarorohewe ariko gucika intege byo byarakomeje mu kuboko kwanjye kw'ibamoso
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/kinyarwanda/f5d65d58118eeec4d8604b12936c9ae3_C2aavj4S.wav,8.145000457763672,Naguye mumuhanda icyumweru gishizenone ndumva mbabara kumurundi kandi sincobora nokuhagendesha ndababara cyane,kinyarwanda,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,naguye mu muhanda icyumweru gishize none ndumva mbabara ku murundi kandi sinshobora no kuhagendesha ndababara cyane
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/kinyarwanda/e6d57881243c65f01a3e2e9dc093ed78_wIqQuwjx.wav,15.194000244140623,"Yashoboraga kuvuga kujya ku Bitaro byihutirwa byo hafi. Umugabo wanjye yakuze avuuka cyane mu nda kuva munsi y'ibere kugeza hejuru y'ahakorerwa operasiyo y'igihunga.""",kinyarwanda,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,yashoboraga kuvuga ati byihuse ajya ku bitaro byo hafi aho umugabo wanjye yagize ikibazo cy'inkovu zitari gukira ziri hafi kunda yaho bamubaze ku mukondo
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/kinyarwanda/4cc2f4c6c666f794a4a9932af9410882_gqebbc30.wav,16.990999221801758,Namaze kubona ko iyo mbyutse kare cyane maze nkasubira kuryama nk'igice cy'isaha mbyuka meze gutya. Nanone kandi nariye isukari nyinshi cyane mugihe cy'ikiruhuko.,kinyarwanda,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,namaze kubona ko iyo mbyutse kare cyane nisubira kuryama nk'igice cy'isaha mbyuka meze gutya nanone kandi nari iyi sukari nyinshi cyane mu gihe cy'ikiruhuko
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/kinyarwanda/16add12477cfae8e5828d1372072fce0_G59taSBv.wav,2.5989999771118164,"ByizA, Mu maso hawe hameze neza.",kinyarwanda,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,byiza mu maso hawe hameze neza
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/kinyarwanda/47af090ed712e74949a2dbde43e3b046_bn78Tqk1.wav,21.70199966430664,"ariko wari wafashe ibi nini bine bya corvette, ndumva bihagije kuko ingano yabyo yegera iyibinini bya post-coital. nta mpamvu rero yokongera gukoresha ibinini nyuma yaho inshuro ebyiri.",kinyarwanda,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,ariko wario wafashe ibinini bine bya koruvete ndumva bihagije kuko ingano yabyo yegera iyoibinini bya posite koitaro nta mpamvu rero yo kongera gukoresha ibinini inyuma yaho inshuro ebyiri
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/kinyarwanda/85fd1317bcb1f6fc17b595ecd21a87ec_1dmvjY9d.wav,10.838000297546388,"Ariko kandi nibikomeza kwinjira mu buzima bwawe bwa buri munsi, nzasaba ko bagufata ibipimo by'uko umutima utera  kugira ngo duzume neza ubwoko bw'ibibazo by'umutima ufite.",kinyarwanda,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,ariko kandi nibikomeza kwinjira mu buzima bwawe bwa buri munsi nzasaba ko bagufata ibipimo by'uko umutima utera kugira ngo dusuzume neza ubwoko bw'ibibazo by'umutima ufite
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/kinyarwanda/0a4f85955d66e27d412a9ad7b8c3fee0_oJSdWn1k.wav,8.102999687194824,Mama wange yigeze no kwibaza niba kanseri yarageze ku bwonko kuko atari uwo yari we mbere y' uko bamubaga bwa kabiri.,kinyarwanda,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,mama wanjye yigeze no kwyobaza niba kanseri yari ageze ku bwonko kuko atari uwo yariwe mbere yuko bamubaga bwa kabiri
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/kinyarwanda/a5a3e1fef51dae79c7c24a726c003ba6_lVtEyNU9.wav,12.574000358581545,Hanyuma muganga ampa Duphaston y'iminsi itanu (kabiri ku munsi). Hari mbere y'iminsi 12. Nakomeje kubura imihango. Nakizera ko mwamfasha muganga?,kinyarwanda,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,hanyuma muganga amadifasitoni y'iminsi itanu ifatwa kabiri ku munsi hari imbere y'iminsi cumi n'ibiri nakomeje kubonnaha ngo nakizera ko mwamfasha muganga
