audio_path,duration,text,language,source,root,file_exists,reference,hypothesis
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/afrikaans/0bcd0eeb56d43fa06496e9e640ae86dd_OxPUBa4N.wav,9.255000114440918,Is enige van hierdie toestande die gevolg van of geïrriteerd deur die teenwoordigheid van skimmel op n plek waar ek 8 uur per dag werk. ,afrikaans,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,Is enige van hierdie toestande die gevolg van of geïrriteerd deur die teenwoordigheid van skimmel op n plek waar ek 8 uur per dag werk. ,Is enige van hierdie toestande die gevolg van of geïrriteer deur die teenwoordigheid van skimmel op 'n plek waar ek agt uur per dag werk?
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/afrikaans/92ec596dfe552bdb79d73d800ba4a835_YrNKeHMO.wav,17.006999969482422,Maak seker dat jou fallopiese buise oop is deur die buistoets te laat doen. (Histerosalpingogram). Dit is nodig vir GUI. Onthou asseblief in vrugbaarheidskwessies praat ons net oor waarskynlikheid en waarskynlikheid.,afrikaans,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,Maak seker dat jou fallopiese buise oop is deur die buistoets te laat doen. (Histerosalpingogram). Dit is nodig vir GUI. Onthou asseblief in vrugbaarheidskwessies praat ons net oor waarskynlikheid en waarskynlikheid.,Maak seker dat jou fallopiese buise oop is deur die buistoets te laat doen. Histerosalpingogram. Dit is nodig vir KIE. Onthou asseblief in vrugbaarheidskwessies praat ons net oor waarskynlikheid en waarskynlikheid.
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/afrikaans/7aaf263c6a1e35fb479bcfa74a4d1555_4ri3hguv.wav,10.479999542236328,"Maande gelede het ek wakker geword met kneusing aan die buitekant van my enkel/hak, en 'n pynlike knop het net onder my enkelbeen verskyn",afrikaans,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,"Maande gelede het ek wakker geword met kneusing aan die buitekant van my enkel/hak, en 'n pynlike knop het net onder my enkelbeen verskyn",Maandag gelede het ek wakker geword met kneusing aan die buitekant van my enkel hak en 'n pynlike knop het net onder my enkelbeen verskyn.
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/afrikaans/8a117868e4258f42ec50c28d4682072e_sQ9Hh5cS.wav,12.774999618530272,"Kan dit moontlik wees dat ek dalk reeds swanger is en dat urinetoetse nie vir my werk nie?  Hallo, dankie vir die navraag. Ek verstaan jou bekommernis. ",afrikaans,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,"Kan dit moontlik wees dat ek dalk reeds swanger is en dat urinetoetse nie vir my werk nie?  Hallo, dankie vir die navraag. Ek verstaan jou bekommernis. ","Kan dit moontlik wees dat ek dalk reeds swanger is en dat urinetoetse nie vir my werk nie? Hallo, dankie vir die navraag. Ek verstaan jou bekommernis."
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/afrikaans/80bf352e0a15acfe9dd2ff356ad3d659_euk0Iyil.wav,9.814000129699709,"As die kind aktief is en speel rond wanneer daar geen koors is nie, dit is waarskynlik n virale siekte en dit het nie antibiotika nodig nie",afrikaans,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,"As die kind aktief is en speel rond wanneer daar geen koors is nie, dit is waarskynlik n virale siekte en dit het nie antibiotika nodig nie",As die kind aktief is en speel rond wanneer daar geen koors is nie. Dit is waarskynlik 'n virale siekte en dit het nie antibiotika nodig nie.
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/afrikaans/cd9023b55fb0f361f69270aecfa5d579_TsoVq3F4.wav,18.31100082397461,L4 - L5 Daar is tipe II Modic eindplaat veranderinge. Daar is 'n regter-asimmetriese posterior skyfuitsteeksel wat lei tot ernstige sentrale kanaalstenose en bilaterale neurale foramina-vernouing.,afrikaans,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,L4 - L5 Daar is tipe II Modic eindplaat veranderinge. Daar is 'n regter-asimmetriese posterior skyfuitsteeksel wat lei tot ernstige sentrale kanaalstenose en bilaterale neurale foramina-vernouing.,L4/L5 daar is tipe 2 Modic-eindplaatveranderinge. Daar is 'n regter asimmetriese posterior skyfuitsteeksel wat lei tot ernstige sentrale kanaalstenose en bilaterale neurale foraminale vernouing.
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/afrikaans/b8eb0cc6932a06fd7ff211801b127f47_8ClOMdtD.wav,14.335000038146973,Ek het tandvleispyn aan my linker bo kant van my mond ervaar. Ek kan nie aan hierdie kant kou nie en dit is uiters pynlik om aan te raak.,afrikaans,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,Ek het tandvleispyn aan my linker bo kant van my mond ervaar. Ek kan nie aan hierdie kant kou nie en dit is uiters pynlik om aan te raak.,Ek het 'n pyn aan my linkerkant bo van my mond ervaar. Ek kan nie aan hierdie kant kou nie en dit is uiterste pynlik om aan te raak.
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/afrikaans/39b71a54b4c35b6a05dc49c353b6ed39_jUvd2vK8.wav,16.80699920654297,"Is deur my neuroloog vertel dat provigil basies meer van a korttermyn skok geggee het en dan versag het. Nuvigil neem langer om aksie te neem, en het a laer sleutel.",afrikaans,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,"Is deur my neuroloog vertel dat provigil basies meer van a korttermyn skok geggee het en dan versag het. Nuvigil neem langer om aksie te neem, en het a laer sleutel.",Is deur my neuroloog vertel dat Propofol basies meer van 'n korttermyn skok gegee het en dan versag het. Negefall neem langer om aksie te neem en het 'n laer sleutel.
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/afrikaans/a87b8450377af2613416f1f1654fd402_Kdm0ecfw.wav,11.991000175476074,"Hallo. My dokter het twee maande gelede vir my gesê my milt is effens vergroot, sonogram het 13 cm gewys. Die bevindings was verlede maand dieselfde.",afrikaans,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,"Hallo. My dokter het twee maande gelede vir my gesê my milt is effens vergroot, sonogram het 13 cm gewys. Die bevindings was verlede maand dieselfde.","Hallo, my dokter het twee maande gelede vir my gesê my milt is effens vergroot. Sonogram het 13 sentimeter gewys. Die bevindings was verlede maand dieselfde."
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/afrikaans/4797a4a3f1565aac52f16775b5a7500f_95jEUSTI.wav,13.82900047302246,"Dit vereis behandeling deur die gebruik van toepaslike antibiotika en anti-inflamatoriese Gesels Dokter, Raadpleeg jou dokter vir ondersoek en behandeling ooreenstemmend met die erns van die kondisie. ",afrikaans,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,"Dit vereis behandeling deur die gebruik van toepaslike antibiotika en anti-inflamatoriese Gesels Dokter, Raadpleeg jou dokter vir ondersoek en behandeling ooreenstemmend met die erns van die kondisie. ","Dit vereis behandeling deur die gebruik van toepaslike antibiotika en anti-inflammatoriese. Gesels dokter, raadpleeg jou dokter vir ondersoek en behandeling ooreenstemmend met die erns van die kondisie."
