audio_path,duration,text,language,source,root,file_exists,reference,hypothesis
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/3f7f84224c554ff99127bafcc11e664f_FrjTquB8.wav,12.213000297546388,"Onse chemotherapy akoko, onilojo iketa. Fun awon dokita,  cancer onipele ikerin,  se ele ran mi lowo lori eleyi",yoruba,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,"Onse chemotherapy akoko, onilojo iketa. Fun awon dokita,  cancer onipele ikerin,  se ele ran mi lowo lori eleyi",O nse chemotherapy koko onilojo iketa fun awon dokita kanṣa onipele ikerin she eleranmi lọwo lori eleyi
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/1417be56c7d2851031aafccab43909b9_zHvTepeL.wav,2.99399995803833,Mo lérò pé àrùn osteoarthritis náà ń dára sí i.,yoruba,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,Mo lérò pé àrùn osteoarthritis náà ń dára sí i.,"We read that our osteoarthritis undergone Transcribe the following speech segment in its original language. Follow these specific instructions for formatting the answer: Only output the transcription, with no newlines. When transcribing numbers, write the digits, i.e. write 1.7 and not one point seven, and write 3 instead of three."
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/19aab528879917cf2dd02c06641aaf88_OVp7BiYi.wav,12.62399959564209,"Emi yoo daba pe ki o ṣe idanwo oyun ninu ito lati jẹrisi oyun. Ti o ba jẹ pe o daju, lẹhinna o yẹ ki a ṣe ultrasound lati ṣayẹwo iye ọjọ oyun naa.""",yoruba,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,"Emi yoo daba pe ki o ṣe idanwo oyun ninu ito lati jẹrisi oyun. Ti o ba jẹ pe o daju, lẹhinna o yẹ ki a ṣe ultrasound lati ṣayẹwo iye ọjọ oyun naa.""",Em i o dapa pe ki o se idanwo oyin ninu itọ lati jere si oyin to ba je pe o daju leyin na wo ye ki a se ultrasound lati shaye wo i oje oyin
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/9a57c3d8c207ccd4ce74ba907772fb19_dAWkcrwF.wav,13.63700008392334,"Nítorí náà, ní ọ̀sẹ̀ méjì sẹ́yìn ó ń ṣeré níta, um mo sì mọ̀ pé òun, ó ṣe é, àwọn àmì rẹ̀ máa ń burú sí i nígbà tí ó bá wà níta, nítorí náà mi ò mọ̀, bóyá.",yoruba,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,"Nítorí náà, ní ọ̀sẹ̀ méjì sẹ́yìn ó ń ṣeré níta, um mo sì mọ̀ pé òun, ó ṣe é, àwọn àmì rẹ̀ máa ń burú sí i nígbà tí ó bá wà níta, nítorí náà mi ò mọ̀, bóyá.",Nitori naa ni ose meji seyin o n sere ni ta am mo si mo pefun o n se awon ami re man burusi nigba ti o ba wa ni ta nitorina mi omo boya
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/fe95f09215189ecb10f33f363194c12b_UFj1mk1K.wav,32.82600021362305,"Lara awọn ti o pe tabi firanṣẹ awọn lẹta ni: Alakoso tẹlẹ, Gbogbogbo Ibrahim Babangida; Awọn Gomina ti Awọn odo, Nyesom Wike, Enugu, Ifeanyi Ugwuanyi, Yobe, Mai Mala Buni, Taraba, Darius Dickson Ishaku ati awọn ọmọ ile-iwe alakoso ti o forukọsilẹ ni 1953 ni Ile-iwe Aarin Katsina, nipasẹ olori wọn. Sen. Abba Ali.",yoruba,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,"Lara awọn ti o pe tabi firanṣẹ awọn lẹta ni: Alakoso tẹlẹ, Gbogbogbo Ibrahim Babangida; Awọn Gomina ti Awọn odo, Nyesom Wike, Enugu, Ifeanyi Ugwuanyi, Yobe, Mai Mala Buni, Taraba, Darius Dickson Ishaku ati awọn ọmọ ile-iwe alakoso ti o forukọsilẹ ni 1953 ni Ile-iwe Aarin Katsina, nipasẹ olori wọn. Sen. Abba Ali.","Laawon ti opɛ ta bi frances awon leta ni Alakosotole, gugu gbo Ibrahim Baba ngida awon gomini na ti awon odo ni yeso mwiki Enugu Ifahin Iwuyi yobe mai mala bunu Taraba Darius Dickson Isaku ati awon omo ile iwe Alakosoto ti o foruko sile ni 1953 ni ile iwe arin Katsina"
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/05c9d030b918affeb52f16ec5cc6e1f3_F2gbiFCr.wav,14.125,"Dokita mi owon ekaaro, lanaa mo lo fun iyewo ara, iyewo naa fi han wipe mo ni anteverted bulky uterus.",yoruba,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,"Dokita mi owon ekaaro, lanaa mo lo fun iyewo ara, iyewo naa fi han wipe mo ni anteverted bulky uterus.",Dokita mi awọn ekaaro l'ano mo lo fun iye wa awọn ofihan wipe mo ni antivirus boki yoteos
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/0b084acd7ef2182211568f5d2ccfafe9_L7Lvboim.wav,4.123000144958496,Eyikeyi ori tabi aiṣedede?,yoruba,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,Eyikeyi ori tabi aiṣedede?,Eiki ori tabi aise dey
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/cb749c716f3eb7700d39b9e139fe1162_toqJgFC1.wav,9.79300022125244,Mo kí yín. Ọmọ mi ti ń dojúkọ ìṣòro ọ̀mìjé ní ojú kan láti ìbí rẹ̀. Ó ti di oṣù mẹ́sán,yoruba,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,Mo kí yín. Ọmọ mi ti ń dojúkọ ìṣòro ọ̀mìjé ní ojú kan láti ìbí rẹ̀. Ó ti di oṣù mẹ́sán,Mọkìí ọmọ mí tìn dojúkọ isoro omije ní ojúkan láti ìbìyẹ̀ ó sì dí ó shùmènsã
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/c0c271504afe5657e20d4b7f37e6cc6a_6LpAtQcG.wav,18.81100082397461,Mo rin ninu iyara idana ati pe lai si idi pataki orokun mi jade be e naa ni mo  fi ara gba ile. Igba kehin ti o sele ni odun die sehin.,yoruba,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,Mo rin ninu iyara idana ati pe lai si idi pataki orokun mi jade be e naa ni mo  fi ara gba ile. Igba kehin ti o sele ni odun die sehin.,Mo n miinu iyagitano ati pe laisi dipatakiki oko me jade beena ni mo fi agbagbe ile igbakẹnti o sele ni odun dieyin
/mnt/multilingual_data/audio/Intron-Multimodal-Benchmarking/data/audio/intron/yoruba/b3208c17cb84f816e89c13e805ddc239_7fNCVtDP.wav,17.701000213623047,"Ti o ba fẹran awọn idahun mi, jowo ṣe iwọn rẹ, ki o kọ atunyẹwo pelu. Jọwọ maṣe gbagbe lati gba. O ṣeun, Mo fẹ ilera tio dara fun o. Dokita iwiregbe. Dokita iwiregbe.",yoruba,intron-MT,/home/azureuser/gabby_data_mls/Intron-Multimodal-Benchmarking/data/,True,"Ti o ba fẹran awọn idahun mi, jowo ṣe iwọn rẹ, ki o kọ atunyẹwo pelu. Jọwọ maṣe gbagbe lati gba. O ṣeun, Mo fẹ ilera tio dara fun o. Dokita iwiregbe. Dokita iwiregbe.","Ti o ba fe ran awon idahun mi, jowo se iwon re ki o ko atinye wo pelu jowo ma se gbagbe lati gba o seun wo fe ile lati o dara fun o dokita iwiregbii dokita iwiregbii"
