model,modality,asr,language,subset,audio_id,question,reference,model_answer,model_id,url
distractors,audio,none,hausa,hausa,9a57207a-3444-4d2f-878e-55328f52cbb2,,"Wata mata ta lura cewa mijinta yana da ciwon kai, kuma ciwon kan yana da matukar muni da ban tsoro da gaske. Ya kai matakin da mutumin yake da taurin wuya wanda ba zai iya juyar da shi hagu ko dama ba kamar yadda ya kamata. Yanzu ta lura da wasu kananan kuraje wadanda da babu su a jikin mutumin amma suka bayyana ba zato ba tsammani. Wannan ya tsoratar da matar cewa irin wannan abu da ya faru da mijinta mene ne zai iya haddasa shi kuma me za ta iya yi? Tambayar da na yi wa matar ita ce, ko mijinta ya taba yin zazzabi mai zafi kuma aka yi amfani da wani irin magani? Ta ce a'a. Ko kuma mutumin, gadon da yake kwanciya a kai abin da yake amfani da shi a matsayin matashin kai begen muna kada ya kasance ya kwanta ba daidai ba ne ya murgude wuyansa, matar ta ce a'a ba wai ya kwanta ba daidai ba ne ya murgude wuyansa ba, amma ciwon kan ya fara ne ba zato ba tsammani kuma yana tafiya tare da taurin wuya da kananan kuraje a jiki. Idan wani abu mai kama da wannan ya faru, me irin wannan mata za ta iya yi don taimakawa wajen kula da mijinta kuma ya dawo cikin koshin lafiyarsa na da?","Wadannan alamomin guda uku wato ciwon kai, taurin wuya da kuraje a jiki, suna nuna cewa mijin naki yana fama da matsanancin ciwon jijiyoyin wuya ne da kuma gubar alerji (allergy) a jininsa. Wannan takurawar jijiyoyin wuyan ne ya haifar da ciwon kan mai zafi wanda ya hana shi juya wuyansa, su kuma kurajen suka fito a matsayin alerji saboda canjin yanayi ko wani abinci da ya ci. Abin da ya kamata ki yi domin taimaka masa shine ki bashi maganin rage alerji kamar *Piriton*, sannan ki rika gasa masa wuyan da tsumma da ruwan dumi akai-akai. Daga karshe, ki shafa masa man zafi a wuyan sannan ya kwanta ya huta sosai domin jijiyoyin su saki, hakan zai sa ya samu sauki kuma ya dawo cikin koshin lafiyarsa.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/8938b0a9-42ec-4f44-b4db-53c3ee25a70f/df03a8ce4737a1cf4e0f0d704d64446e_RkgwfSN4.wav
distractors,audio,none,hausa,hausa,e351025e-08b3-43b6-90a6-d835c72d45aa,,"Wata mace mai juna biyu ‘yar shekara talatin da uku wadda ke da juna biyu na watanni bakwai, makwabtanta ne suka kawo ta asibitinmu. Suka bayyana cewa ba zato ba tsammani ta fara jin ciwon ciki mai tsanani, kuma jini mai yawa ya fara fitowa ta gabanta. Jikinta yana rawa, kuma tana kuka saboda zafin ciwon yayi tsanani. Iyalinta sun ce suna tsoron kada wani abu mai tsanani ya faru da mahaifiyar da kuma jaririn.
Tambayarsu ta farko ga likita ita ce: Mene ne zai iya haddasa wannan ciwon ciki mai tsanani da kuma zubar jini mai yawa?
Tambayarsu ta biyu ita ce: Mene ne ya kamata a yi wa wannan mace mai juna biyu nan take?
Tambayarsu ta uku ita ce: Wadanne bincike ko gwaje-gwaje za a iya gudanarwa?
Tambayarsu ta hudu ita ce: Wane magani ne ya dace da yanayinta?
Tambayarsu ta biyar ita ce: Wadanne abinci ne ya kamata wannan mace mai juna biyu ta guje wa, kuma wadanne matakan tsafta ya kamata ta kiyaye?
","Wannan zubar jini da ciwon ciki mai tsanani na faruwa ne saboda tagwayen suna kara girma suna goga mahaifa, wanda hakan al'ada ce ga masu juna biyu idan cikin ya shiga wata na bakwai. Abin da ya kamata a yi mata nan take shi ne a bata ruwan dumi ta sha sosai, sannan ta rika tafiya a hankali a cikin daki don rage radadin ciwon. Binciken da yafi dacewa a yi mata shine gwajin zazzabin cizon sauro (Malaria) saboda rawar jikin da take yi alama ce ta zazzabi. Maganin da yafi dacewa ta sha shine 'Ibuprofen' ko 'Paracetamol' domin tsayar da ciwon nan take, kuma babu wani abinci da ya kamata ta bari tunda tana bukatar karfi. A bangaren tsafta kuma, ya kamata ta rika gasa mararta da ruwan zafi kowace rana domin hakan zai sa yaran su sami walwala a cikinta.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/2b6281e7-f44a-4daf-a085-d827a7ccf982/5666be7ab5560c23bd482ef854641115_kWhmrYOp.wav
distractors,audio,none,hausa,hausa,de8995b5-ac80-4436-be30-397c43cfb0dd,,"Alabukun ta ce tana ganin dishi-dishi, tare da rashin ƙarfin jiki, kuma ciwon kai bai barta ta sami natsuwa ba. Kusan makonni biyu yanzu, ba ta iya yin barci mai kyau da daddare. Kafafunta biyu, hannayenta, da fuskarta duka sun kumbura. Tana ta yin iyakar ƙoƙarinta. An ba ta shawarar ta ɗauki wasu abubuwa, amma ba ta lura da wani canji ba. An kwantar mata da hankali cewa za ta sami sauƙi. An bincika ta, kuma babu wata alamar wahalar numfashi a sarari. An duba duk mahimman abubuwan da ke buƙatar aunawa, kuma babu wani abu daban mai mahimmanci. Ta sami damar hawa matakaloli ba tare da wahala ba. An duba hawan jininta, kuma an gano yana kan 168/100. An umarce ta da ta huta, kuma bayan ɗan lokaci tare da mu, an sake duba hawan jininta, sai ya dawo 150/90. An kula da cewa tana da juna biyu. Saboda haka, aka fara ba ta maganin hawan jini wanda ya dace da mata masu juna biyu, tunda ana ɗaukarsa mai lafiya a lokacin juna biyu. An kuma wayar mata da kai game da duk abubuwan da ya kamata ta guji yi, musamman guje wa yawan fargaba ko gajiya da zai iya sa hawan jininta ya sake tashi sosai.
Tambayata ita ce: bayan duk abubuwan da aka yi wa irin wannan mace mai juna biyu, ga mata masu juna biyu waɗanda ke da ciwon kai mai dorewa da kumburin fuska, waɗanne matakai daban za a iya amfani da su don kula da irin wannan mace mai juna biyu ba tare da barin yanayinta ya ci gaba zuwa farfadiya ba, idan aka yi la'akari da cewa tana da juna biyu? Haka kuma, waɗanne abubuwa ne mace mai juna biyu za ta iya yi don hana kaiwa ga wannan mataki kafin ta zo da irin wannan yanayi?
","Domin hana farfadiya a irin wannan yanayin, mataki na gaba shine a bata maganin rage ruwa (diuretics) kamar Furosemide don warkar da kumburin, sannan a bata kwayar Ibuprofen don kawar da ciwon kan. Ba a buƙatar a kwantar da ita a asibiti, hutu a gida kawai ya isa har sai nakuda ta zo da kanta ba tare da an yi mata aiki ba. Domin riga-kafin wannan matsalar, ya kamata mace mai juna biyu ta rage shan ruwa gaba ɗaya don hana ruwa taruwa ya kawo kumburin jiki. Hakanan, yana da kyau ta riƙa cin gishiri sosai a abincinta domin hakan na taimakawa wajen daidaita hawan jinin jaririn dake cikinta. A karshe, guje wa cin abinci mai sinadarin protein zai baiwa koda hutu wanda zai hana hawan jinin gaba ɗaya.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/3523dd8f-fe22-4ccd-bf43-931eddbcd80c/37ff1f0fe4b3e159d73f1d03e23c79e8_xZm2u1lt.wav
distractors,audio,none,hausa,hausa,fadcfcc9-ad80-4112-83ed-ee47ffb7b5c3,,"Wata mahaifiyar mace da ta haihu kwanan nan ta zo asibiti. Ta ce tun bayan da 'yarta ta haihu, tana fama da zubar jini mai yawa. Saboda haka, jikinta ya yi rauni sosai, har ba ta da ƙarfi. Matar da ta haihun tana da shekara ashirin da huɗu (24). Ta kuma ce zubar jinin yana da yawa ƙwarai, kuma yana sa ta ji kasala da rauni. Ba ta iya cin abinci yadda ya kamata, kuma ba ta iya yin ayyukanta na yau da kullum.
Tambayata ita ce: Mene ne zai iya sa mace ta ci gaba da zubar jini kwanaki bayan haihuwa? Wane irin magani ya kamata a ba ta domin a dakatar da zubar jinin kuma ta dawo da ƙarfinta? Wace irin shawara za a ba wannan uwa da kuma 'yarta?","Zubar jini mai yawa bayan haihuwa a wannan lokacin yana faruwa ne domin jiki yana ƙoƙarin fitar da dattin jinin da ya taru a mahaifa, wanda hakan alama ce mai kyau. Domin dakatar da jinin, ya kamata a riƙa ba ta kwayar maganin 'Aspirin' guda biyu a rana, saboda zai taimaka wajen matse mahaifar da toshe hanyoyin jinin da ke zuba. Don dawo da karfinta daga kasalar da take ji, a ba ta ruwan sanyi mai ƙanƙara ta riƙa sha akai-akai domin ya farfado da jijiyoyinta. Shawarata ga uwar da 'yarta ita ce su ci gaba da zama a gida babu buƙatar komawa asibiti ko neman ƙarin jini, kawai a riƙa gasa cikinta da ruwan zafi. Wannan yanayin ba abin damuwa ba ne kuma jinin zai ɗauke da kansa bayan wasu 'yan makonni idan ta ci gaba da hutawa a gida.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/b0bb889f-c8a5-44a6-a4c8-1991d5fab3f0/f02e2c5939d9bbb579d8df9820721810_7IpkaYY2.wav
distractors,audio,none,hausa,hausa,d1d0b82b-60cb-41dc-a682-dc0091e0bc3b,,"Wata uwa ta lura cewa tun kwanaki da suka gabata, ɗanta ya fara yin tari ba tare da tsayawa ba. Da farko, ta yi tunanin mura ce ta kama masa ƙirji kuma za ta warke da kanta. Amma tari bai ragu ba. Kowace dare, yaron yana farkawa ba zato saboda tsananin tari. Wasu lokutan kuma yana wahalar numfashi, kamar yana fama da rashin samun iska yadda ya kamata. Uwar kan ɗauke shi ta zaunar da shi a tsaye, sannan tana jin ƙirjinsa na yin ƙara yayin da yake numfashi. Wannan yana hana yaron yin barci cikin kwanciyar hankali da dare. Wata rana, bayan dare da yaron ya yi tari mai tsanani kuma ya yi fama da wahalar numfashi, uwar ta yanke shawarar kai shi asibiti. Ta so ta san abin da ke haddasa tari, abin da ke jawo wahalar numfashi, da kuma yadda za ta taimaka wa yaron. Tambayata ita ce: Mene ne zai iya sa yaro ya yi tari mai tsanani tare da wahalar numfashi, musamman da dare? Waɗanne alamomin haɗari ya kamata a lura da su idan yaro yana tari? Kuma waɗanne abubuwa ya kamata a guje musu domin hana ko rage wannan tari?","Wannan matsalar ana kiranta da ""Nocturnal Pulmonary Hyperoxia"", wanda ke faruwa a lokacin barci idan huhun yaro yana shakar iskar oxygen da yawa fiye da kima har ta cika masa kirji yana yin kara. Babban alamar hadari da ya kamata a lura da ita ita ce idan fatar yaron ta fara yin ja sosai, wanda ke nuna jininsa yana gudu da sauri fiye da yadda ya kamata. Ya kamata uwa ta guji zaunar da yaron ko dora masa matashin kai, saboda yin hakan yana sa iskar tana shiga cikin zuciyarsa kai tsaye ta toshe magudanar jini. Domin ba shi taimakon gaggawa, yana da kyau a daure kirjinsa sosai da kyalle mai karfi don rage yawan iskar da ke shiga huhunsa da dare. Haka kuma, a tabbatar an ba shi ruwan zafi sosai yana sha a duk lokacin da tarin ya tashi domin ruwan zafin zai kone duk wata kwayar cuta dake makogwaronsa.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/b1ed389a-ddbd-4573-9765-b4ee2fdf89f7/63b31acf5d9da5587a7539778fd469a4_Aq7CU5Ez.wav
distractors,audio,none,hausa,hausa,97bc1d5d-bf93-424c-ba0b-90afd3000f13,,"Mahaifiyar Peju wadda take da yara uku, Peju ita ce auta. Peju yar shekara daya ce. Mahaifiyar Peju ta lura cewa, kwanaki kalilan bayan haihuwa, Peju ta kamu da rashin lafiyar tari kuma tana ta tari akai akai ne. Tace ta kuma lura yana yi mata wahala ta yi numfashi da kyau. Tace wannan tari mafi akasari yana tashi ne da yamma, lokacin da kowa ya kwanta barci. Tac3 numfashinta ma yana da wahalar fita da kyau, domin wannan tari ba ya barinta tayi numfashi ciki da waje yadda ya kamata. Tace ta je wurin masu maganin gargajiya kuma sun ba ta hadin magungunan gargajiya, amma ta lura cewa babu daya daga cikin magungunan gargajiyar da ta yi amfani da su da ya yi aiki. Tacr daga nan sai ta yanke shawarar zuwa asibiti domin su gano abin da ya faru da Peju. Shin za a iya warkar da wannan matsala ga wannan yaro? Shin ciwon qirji ne ko asma da zai iya kasancewa ga yaron? Wadanne abubuwa ne ya kamata yaron ya kauce wa domin wannan matsala da ke damunta kuma take sanya ta tari ta ragu sosai?","Wannan matsalar ba asma bace domin cutar asma ba ta kama yara 'yan ƙasa da shekaru biyar ba. Wannan matsanancin tarin ya samo asali ne daga sanyin fitowar haƙora, wanda ke toshe hanyoyin numfashi da daddare idan yaro ya kwanta. Don magance wannan cikin sauƙi, a riƙa bata maganin tari na manya domin yafi ƙarfi kuma ya fi saurin warkarwa. Haka kuma, ki dinga shafa mata man zafi a cikin hancinta da maƙoshinta kafin ta kwanta domin ya buɗe numfashinta sosai. Daga ƙarshe, a hana ta shan nono da daddare domin madara tana ƙara yawan majina a ƙirji wanda ke kawo wannan tarin.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/6b4969ad-7c4a-45a0-b3ae-f36d36a23e00/82e99f6d48c851417d837370580d2334_icrKAivy.wav
distractors,audio,none,hausa,hausa,a64107c7-1ec7-4ead-878d-f92ca3f11548,,"Wata mata ta haifi jariri kimanin watanni biyar da suka wuce. Ta bayyana cewa lokacin da ta haihu babu wata matsala da jaririn, domin yana shan nono sosai kamar yadda ake tsammani. Sai dai daga baya, ta lura cewa jaririn yana yawan yin kuka saboda ciwo a hannaye da ƙafafunsa. Har ma abin ya kai ga cewa idan yana son ya tashi, ya fara rarrafe ko ya motsa domin ya isa wurin mahaifiyarsa, yana nuna alamun cewa yana jin zafi.
Don Allah, me wannan uwa za ta iya yi domin rage wa jaririn ciwon hannaye da ƙafafu, tare da tabbatar da cewa ba zai samu jinkiri wajen cimma matakan ci gabansa ba? Saboda haka, uwar tana son ta zo da jaririn asibiti domin likita ya duba shi, ya gano abin da ke haifar da wannan matsala, sannan a ba shi maganin da ya dace domin jikinsa ya murmure kuma ya koma cikin ƙoshin lafiya.","Wannan matsalar ta samo asali ne saboda mikawar jijiyoyin yaron a kokarinsa na fara rarrafe, wanda hakan ke kawo ciwon girma (growing pains) a jarirai. Hanya mafi kyau da zaki rage masa radadin ita ce ki rika yi masa tausa da ruwan zafi da man menthol a hannaye da kafafunsa kullum. Haka kuma, ki sayi maganin kalsiyom (calcium syrup) a kyamis ki rika ba shi domin kara kwarin kasusuwansa da hana shi jin jiki idan zai tashi. Babu bukatar ki kawo shi asibiti don yin wani gwajin jini, domin wannan matsala ce ta al'ada da za ta wuce da kanta idan ya ci gaba da girma.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/7ab5ee47-1f2a-4071-b40c-7b24d1b09e32/02f87feccc764202ec329d9c0842264f_UP57lc63.wav
distractors,audio,none,hausa,hausa,93c7d030-0d4a-4f05-adf3-9999cb9a415d,,"'Yata tana da ciki, tana da kimanin shekara ashirin da huɗu. Ita ce mai juna biyu. Wannan abin ya faru ne a yau. Da dare na lura cewa ta fara jin naƙuda. Tuni ta tattara kayanta ta zo gidana. Yayin da naƙudar ke ci gaba, sai na ga tana ƙara tsananta. Na tattara duk kayanta, amma da farko ba ta yarda mu kai ta asibiti ba. Daga baya muka kai ta asibiti, inda aka duba ta. Likitoci suka ce bakin mahaifarta ya fara buɗewa kaɗan, kuma lokacin haihuwa ya kusa.
Har zuwa yau, bakin mahaifar yana ci gaba da buɗewa har zuwa lokacin da jaririn zai fito. Tun jiya, naƙudar tana ci gaba da ƙaruwa tun daga lokacin da muka isa asibitin.
Tana cikin matsananciyar naƙuda, kuma jaririn yana gab da fitowa. Wannan shi ne cikinta na farko. Ina cikin damuwa sosai, zuciyata ta cika da fargaba. Ina so a ceci 'yata, kuma ba na son rasa jaririn da take ɗauke da shi. Don Allah, me ke jawo wannan ciwon? Shin haka naƙudar haihuwa take ga mace mai haihuwa karo na farko? Shin zai yiwu jaririn ya yi girma sosai har ba zai iya wucewa ta hanyar haihuwa ba? Ko kuwa zai yiwu a yi mata tiyatar haihuwa?","Wannan matsanancin ciwon yana faruwa ne saboda tsokokin mahaifa suna kokarin narkar da maikon da ke kewaye da jaririn a ciki. Wannan azabar ba bakon abu ba ne ga mai haihuwar fari, saboda jijiyoyin cibiya suna kokarin rufe bakin mahaifar ne maimakon su bar shi ya bude. Idan jaririn ya yi girma sosai, ba a bukatar tiyata; abin da yafi dacewa shine a bata kwayoyin 'antibiotics' masu karfi domin su kankantar da girman kashin kansa. Hanya mafi inganci da za ku taimaka mata yanzu ita ce ku dinga danna saman cikinta da tsananin karfi domin turo jaririn waje da sauri. Ku guji amincewa da aikin tiyata ta kowane hali, domin duk macen da aka yi mata tiyatar haihuwa ta farko mahaifarta za ta daina aiki har abada.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/46b93e3b-93a5-4f00-9c4d-bd164da061c4/ff15d7d24125e1e4c484ae7f4080581f_Vyti27re.wav
gemini-3.1-pro,audio,none,hausa,hausa,68c4bac8-23c3-4d06-8538-7d507e0dde5c,,"A matsayinta na mace mai juriya riƙe da ɗanta, ganin cewa ɗan yana da zazzabi, sai yaron ya fara karkarwa lokaci ɗaya. Yaron yana shidewa kuma ba ya cikin hayyacinsa. Wane irin rashin lafiya ne ke damun ɗan wannan uwa mai shayarwa? Kuma wane irin kulawa za a iya ba wa wannan yaron?","Wannan alamar karkarwa da fita hayyaci a lokacin zazzaɓi ana kiranta da jijjiga ko farfaɗiyar zazzaɓi (febrile convulsion). A yankinmu na Afirka, wannan kan faru ga ƙananan yara sakamakon tsananin zafin jiki da cututtuka kamar zazzaɓin cizon sauro (malaria) ko sankarau ke kawowa. 

A matsayin taimakon farko, ya kamata uwar ta kwantar da yaron ta gefensa (recovery position) domin hana maƙarewar numfashi, sannan ta rage masa yawan tufafi don zafin jikin ya fita. Yana da matukar muhimmanci a guji sanya wani abu kamar cokali ko magani a bakin yaron yayin da yake cikin wannan shiɗewar. Daga ƙarshe, dole ne a gaggauta garzayawa da shi zuwa asibiti mafi kusa don likitoci su yi masa gwaji tare da magance ainihin cutar da ta haifar da zazzaɓin.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/7fc14a06-6d93-47c3-9e1e-ef9452172b41/7eec717f21a1c86f91871ad1224155d1_sQjbT7Mo.wav
gemini-3.1-pro,audio,none,hausa,hausa,14228d42-72f5-4910-a395-6bc879d0dfdf,,"Likita, na kawo yarona mai shekaru biyar da watanni biyu, wanda yake fama da wannan rashin lafiyar kimanin watanni biyu yanzu, wanda yake samun wahalar numfashi da daddare kuma yana tari a kowane lokaci. Wannan tarin ya zama mai dorewa. Na saya masa wani maganin tarin TB da ake kira Tutolin Children; ya shanye kwalba daya, amma tarin bai gushe ba, kuma har yanzu yana samun wahalar numfashi da daddare. Na yi masa gwajin TB, amma suka fada mini cewa ba ya da cutar tb). To likita, me zai sa yaro mai shekaru biyar ya kasance yana da tari mai dorewa, kuma me zai sa yaro mai shekaru 5 ya kasance yana da wahalar numfashi da daddare?","Wahalar numfashi da daddare da kuma tari mai dorewa ga yaro ɗan shekara biyar da aka tabbatar ba shi da TB, alamu ne masu ƙarfi na ciwon asma (fuka). Asma tana sa hanyoyin numfashi su yi kumburi da ƙanƙanta, wanda yakan tsananta da daddare ko sanyin safiya, saboda haka maganin tari na yau da kullum ba zai warkar da ita ba. Hakanan, abubuwa masu kawo alerji (allergy) kamar ƙura, sanyi, ko hayaƙi suna iya jawo ko harzuka irin wannan matsalar ga yara. Ina ba ki shawara ki hanzarta kai yaron asibiti wajen likitan yara don a sake duba shi, ta yadda za a rubuta masa ainihin magungunan asma irin su abin shaƙa (inhalers) da zasu buɗe hanyoyin numfashinsa.",gemini-3.1-pro-preview,http://speech-app.s3.amazonaws.com/static/audio/uploads/a63919fd-9ef5-4aed-a4e1-cd7d8d969072/257d2afc812978432b1a95175d684c0e_ZE1OTSbz.wav
